Cancer	Signature	Type	HR	Low CI95	Up CI95	p-value	Number_Event	N/A_number	Likelihood_ratio_test	Wald_test	Score_test	zph	concordance
ACC	AR	(continuous)	0.164365951143155	0.0242416665388393	1.11445167566799	0.0644577423091917	46/14	46(50%)	0.0389312820463329	0.0644577423091917	0.0633042510702213	0.920412953247845	0.627737226277372
ACC	AR	H (vs L)	0.511895049214617	0.171057643131097	1.5318610534673	0.231161756559358	23/9--23/5	46(50%)	0.220456685484448	0.231161756559358	0.222651973747053	0.871050088998197	0.579075425790754
ACC	weiss_score_overall	(continuous)	1.26473725613742	1.04365622415868	1.5326505893753	0.0165816583804103	69/28	23(25%)	0.0141536207292585	0.0165816583804103	0.0143348991168115	0.0169780750805596	0.585803432137285
ACC	mitoses_per_50_hpf	(continuous)	1.02175862510958	1.010521253787	1.03312096017119	0.000136246788888683	61/24	31(33.7%)	0.00082044254989011	0.000136246788888683	2.07058962327089e-05	0.17170477931705	0.703214695752009
ACC	age_at_initial_pathologic_diagnosis	(continuous)	1.01351691180864	0.992817267844707	1.03464813092151	0.202214049175244	92/34	0(0%)	0.20045713129045	0.202214049175244	0.200811782194355	0.804475395847534	0.561792452830189
ACC	gender	MALE (vs FEMALE)	0.848598439813268	0.413528965025436	1.74139993315636	0.65443727432665	32/11--60/23	0(0%)	0.651459796896023	0.65443727432665	0.654075375788134	0.884256975321048	0.517688679245283
ACC	pathologic_stage_v2	StageIII/IV (vs StageI/II)	8.00991843864135	3.53921423668734	18.1279767493642	5.94873209691649e-07	37/24--53/9	2(2.17%)	5.49369900681995e-08	5.94873209691649e-07	1.04686000979015e-08	0.325161744523809	0.745208845208845
ACC	tumor_status	WITH_TUMOR (vs TUMOR_FREE)	33.7767196682664	7.75632062233016	147.088658024804	2.74661615895511e-06	45/30--45/2	2(2.17%)	1.32338584535319e-12	2.74661615895511e-06	9.3665075695526e-12	0.706156852417986	0.770770010131712
ACC	treatment_outcome_first_course_v2	Uncomplete_Remission/Response (vs Complete_Remission/Response)	13.1636623792888	4.90062610769963	35.3591568562335	3.17783052428133e-07	25/17--54/7	13(14.13%)	1.99286006585808e-08	3.17783052428133e-07	2.55209298138936e-10	0.919980167841732	0.769461077844311
ACC	residual_tumor	R1 (vs R0)	7.62729348229386	2.52840407932728	23.0088245548635	0.000310327183685177	7/5--64/14	NA	NA	NA	NA	0.431020622126212	NA
ACC	residual_tumor	R2 (vs R0)	12.4669507308948	5.30195988948915	29.3146051207742	7.30458182829352e-09	12/11--64/14	NA	NA	NA	NA	0.580271256181809	NA
ACC	residual_tumor	RX (vs R0)	3.37981820127276	0.967345886667707	11.8087761896677	0.0563975303020207	6/3--64/14	NA	NA	NA	NA	0.0862491775670821	NA
ACC	residual_tumor	Global	NA	NA	NA	NA	NA	3(3.26%)	2.63012604806434e-07	1.08256514752547e-07	3.8040348648849e-11	0.196696787916019	0.752113376429637
ACC	new_tumor_event	Yes (vs No)	4.05476466102074	1.88282619642583	8.7321477083083	0.000347983916873629	44/25--48/9	0(0%)	0.000116023553529465	0.000347983916873629	0.000112194964227319	0.833865841032282	0.665094339622642
ACC	number_of_lymphnodes_positive_by_he	Yes (vs No)	2.36419785887111	0.911274481413968	6.13364209125879	0.0769020967701215	8/5--84/29	0(0%)	0.109642611096811	0.0769020967701215	0.0682079097462117	0.428407634339018	0.555188679245283
ACC	clinical_status_within_3_mths_surgery	Disease (vs No_evidence)	9.0028432656274	4.41030438768871	18.3776854703511	1.5821420840112e-09	20/18--72/16	0(0%)	6.98912128171969e-09	1.5821420840112e-09	7.72604202836646e-13	0.893623762048233	0.721933962264151
ACC	ct_scan_preop_results.1	Involvement (vs Normal)	3.50849746955336	1.66060897534973	7.41267491419517	0.00100572892201856	24/15--53/13	15(16.3%)	0.00120424975537625	0.00100572892201856	0.000462278364565138	0.280655222353607	0.667232021709634
ACC	history_adrenal_hormone_excess	None (vs Yes)	0.499472934188484	0.23304420022384	1.07049740670325	0.0742911007859723	38/9--54/25	0(0%)	0.0614105088852346	0.0742911007859723	0.06864552986855	0.266580359969194	0.56061320754717
ACC	invasion_of_tumor_capsule	Absent (vs Present)	0.380816285878527	0.174014855350984	0.833383122939772	0.01568821306685	35/9--48/22	9(9.78%)	0.0111116124792585	0.01568821306685	0.0122426824061231	0.0975886796961598	0.639905548996458
ACC	Mitotic_Rate_._5.50_HPF	Absent (vs Present)	0.391217204074474	0.174305577162628	0.878060835776076	0.0228925222775437	32/8--48/24	12(13.04%)	0.0153838116891827	0.0228925222775437	0.0185625793916105	0.203439306732267	0.585653753026634
ACC	necrosis	Absent (vs Present)	0.381967806811558	0.133993239358026	1.08885646872521	0.0717518900169519	20/4--67/29	5(5.43%)	0.0430251154672644	0.0717518900169519	0.0614588313982799	0.174615224519016	0.555960437272254
ACC	sinusoid_invasion	Present (vs Absent)	2.12886578290453	0.97169160399954	4.66410279039917	0.0589989293926944	29/15--39/11	24(26.09%)	0.0570394271743302	0.0589989293926944	0.053431760969318	0.124430096568299	0.562874251497006
ACC	weiss_venous_invasion	Present (vs Absent)	3.18683478766862	1.50684051294036	6.73987451006162	0.00242246228855592	36/19--43/12	13(14.13%)	0.00199735377138399	0.00242246228855592	0.00148974417737358	0.850561532622063	0.642156862745098
BLCA	AR	(continuous)	0.952413774320399	0.739516357914518	1.22660166716702	0.705653114871801	343/155	69(16.75%)	0.704627576825394	0.705653114871801	0.705649306985844	0.0254101638350339	0.53693574852804
BLCA	AR	H (vs L)	0.857714090858667	0.625033052496474	1.17701529338188	0.341821640003295	171/83--172/72	69(16.75%)	0.341194784355333	0.341821640003295	0.341354975876316	0.000829384521142007	0.54941925935459
BLCA	BMI	(continuous)	0.993441147538726	0.966874427774967	1.02073783861906	0.634208182326432	361/153	51(12.38%)	0.630507769995155	0.634208182326432	0.634276435382503	0.629734344249669	0.510043455799678
BLCA	tobacco_smoking_history	(continuous)	1.0453367996629	0.922455887955021	1.18458675260009	0.487105539242261	398/175	14(3.4%)	0.487526614648717	0.487105539242261	0.486985578146241	0.304785893000725	0.525047167529389
BLCA	age_at_initial_pathologic_diagnosis	(continuous)	1.03146925923741	1.0160026388791	1.04717132814296	5.8318737247598e-05	411/180	1(0.24%)	3.90086909038967e-05	5.8318737247598e-05	5.3369207405618e-05	0.050673675688531	0.60105294278177
BLCA	race	ASIAN (vs WHITE)	0.621738497166837	0.316476793222761	1.22144424847982	0.16778155672727	44/9--327/152	NA	NA	NA	NA	0.0325688499007987	NA
BLCA	race	BLACK_OR_AFRICAN_AMERICAN (vs WHITE)	1.25437146949369	0.711495125314883	2.21146670932342	0.433401379609602	23/13--327/152	NA	NA	NA	NA	0.657729903857642	NA
BLCA	race	Global	NA	NA	NA	NA	NA	19(4.61%)	0.229005381987568	0.2623728880636	0.255944768495011	0.0974323904693397	0.530146840700089
BLCA	gender	FEMALE (vs MALE)	1.11771312769827	0.808016181760891	1.54611091216825	0.501429957014188	108/51--304/130	1(0.24%)	0.504924324568667	0.501429957014188	0.50121003181337	0.563747306266809	0.514941326298554
BLCA	pathologic_stage_v2	StageI/II (vs StageIII/IV)	0.447355988626598	0.309042517707048	0.647572321261595	2.02151061819977e-05	133/35--277/145	3(0.73%)	4.43057266674707e-06	2.02151061819977e-05	1.19970307245199e-05	0.348162189752653	0.584225060407318
BLCA	tumor_status	WITH_TUMOR (vs TUMOR_FREE)	5.78113450409233	4.05156794806129	8.24903261721167	0	165/124--222/43	26(6.31%)	0	0	0	0.0395489930409856	0.681734197309184
BLCA	treatment_outcome_first_course	Partial_Remission/Response (vs Complete_Remission/Response)	4.65180146934711	2.68895797853318	8.04745075340453	3.86093295112744e-08	23/17--234/57	NA	NA	NA	NA	0.818772500278605	NA
BLCA	treatment_outcome_first_course	Stable_Disease (vs Complete_Remission/Response)	3.559724240905	2.08785906138958	6.0692011762772	3.09883223803542e-06	30/18--234/57	NA	NA	NA	NA	0.539551691652185	NA
BLCA	treatment_outcome_first_course	Progressive_Disease (vs Complete_Remission/Response)	6.3956908116907	4.3301587445278	9.44650378243938	0	68/54--234/57	NA	NA	NA	NA	0.817262024204952	NA
BLCA	treatment_outcome_first_course	Global	NA	NA	NA	NA	NA	57(13.83%)	0	0	0	0.879131625009648	0.702924124023191
