Name	Number	ACC	BLCA	BRCA	CESC	CHOL	COAD	DLBC	ESCA	GBM	HNSC	KICH	KIRC	KIRP	LAML	LGG	LIHC	LUAD	LUSC	MESO	OV	PAAD	PCPG	PRAD	READ	SARC	SKCM	STAD	TGCT	THCA	THYM	UCEC	UCS	UVM
Neuroactive ligand-receptor interaction	31	2.16383580601256e-08	1.311520375364e-05	1.3862899710158e-08	6.98788450739818e-14	NA	1.69241968130849e-15	NA	1.54458528108404e-15	1.19689753754294e-06	4.88126888167424e-14	0.00606482143279515	5.00631071760324e-07	2.06041883050525e-06	3.78807767499137e-05	4.12142714862652e-19	0.0001454606323011	3.18110960196793e-08	9.07024906935795e-18	9.08726075422604e-06	0.00058939036891564	2.27758802908405e-12	8.25327868117336e-16	3.73858312101568e-06	1.65875502810145e-05	9.57890946163176e-09	1.35935906645034e-05	1.82152261588786e-23	1.91013393968655e-10	9.4523839968452e-05	2.46661257033066e-07	8.03886815323112e-10	1.18279202883608e-07	0.0367148860885148
Calcium signaling pathway	22	0.000134412072209074	0.00055089122244181	0.00936810296280052	1.76883099565969e-05	NA	2.77245523182135e-08	NA	1.28978042398946e-07	NA	6.26673872735131e-06	0.0380507629248554	NA	NA	NA	5.58172286143672e-05	NA	0.0145602536075072	2.41619244262345e-05	0.032529553398175	NA	0.000121566674953572	1.79308690539813e-06	0.0406691529599492	0.00154888254705395	0.000838263449421253	NA	1.44314315569236e-13	4.54078554025796e-05	0.0115105710200234	NA	NA	0.0239126390804555	0.0395374375782741
Protein digestion and absorption	25	0.000706607020838155	NA	0.00048993579616398	6.03796572400052e-06	0.00767800489308324	1.83948629093253e-07	NA	1.56227189838673e-07	0.0232443564735436	3.29048527145101e-05	0.0273026932820046	NA	0.00098372369041245	0.0345044923178469	0.00226539088723757	0.00156937631280012	0.0116233322345025	1.90474953773092e-13	9.99235720331806e-07	3.82513039225686e-08	2.27758802908405e-12	8.26441774546229e-05	NA	4.05695304485095e-10	0.00173089845835048	2.41005366186084e-06	2.32923884379979e-10	0.00071349185837997	NA	NA	NA	NA	4.91084242722413e-05
Cytokine-cytokine receptor interaction	27	NA	1.83410364702673e-07	2.39962307822872e-09	2.72267725238907e-06	NA	1.0156808298306e-05	NA	1.44160726489374e-10	6.08671579432122e-06	3.78502613803193e-07	0.00131131650977658	1.4807039148545e-05	7.81153894842058e-09	0.000769137281568113	2.07162712323185e-10	0.000127224372941016	0.010509717647024	0.00111076713300445	8.03436560132719e-08	NA	0.00985955362637535	0.035477726681848	0.0244503391619588	1.06623116138336e-07	3.59416313383084e-10	0.00754597172775128	1.64083149393287e-07	2.92965686181278e-05	0.0248438377250927	0.00250909256333219	1.25822804080638e-07	NA	NA
Cell adhesion molecules (CAMs)	13	NA	0.00055089122244181	NA	0.00125592979236665	NA	3.79794620440716e-12	NA	1.77583851456933e-13	NA	4.09804635685163e-05	NA	NA	NA	0.0210367910030126	0.00355253651966774	NA	NA	3.58639420696818e-05	3.13231160091165e-06	NA	NA	NA	NA	7.66955607121685e-08	NA	NA	3.21647163962751e-05	NA	0.011388288413337	NA	NA	NA	0.0300659873193204
Steroid hormone biosynthesis	6	NA	0.00055089122244181	NA	0.0143303037867271	6.49706205218454e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.16877845544633e-05	NA	NA	NA	0.00162342864466637	NA	5.87525970710754e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Retinol metabolism	10	NA	0.000969895164846859	NA	NA	3.21574160981595e-08	NA	NA	NA	NA	NA	0.00271054590363242	NA	NA	NA	NA	1.76243321437365e-06	0.0116233322345025	NA	NA	0.00058939036891564	NA	0.00855730000414247	NA	NA	NA	0.027051497029364	NA	NA	0.00224783782364989	NA	0.0292392093666431	NA	NA
Graft-versus-host disease	2	NA	0.00158605201982301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00476239450078234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rheumatoid arthritis	6	NA	0.00325434697880428	NA	NA	NA	0.026769541197644	NA	NA	NA	NA	NA	NA	NA	NA	6.44112748009599e-06	NA	NA	NA	NA	NA	NA	NA	NA	0.0079151424487936	0.0101329671403001	NA	NA	0.00692356251787587	NA	NA	NA	NA	NA
Chemical carcinogenesis	8	NA	0.00381759985047872	NA	NA	1.03679207363556e-06	NA	NA	NA	NA	NA	0.00563551838178806	NA	NA	NA	NA	8.4153429178256e-07	0.0410668351970062	NA	NA	0.0388496305988262	NA	0.0322150051179055	NA	NA	0.0153084279845398	NA	NA	NA	NA	NA	NA	NA	NA
Metabolism of xenobiotics by cytochrome P450	9	NA	0.00381759985047872	0.0177800074928485	NA	5.60033088232596e-06	NA	NA	NA	NA	NA	0.00131131650977658	NA	NA	NA	NA	4.63464513050905e-08	0.0258204918816192	NA	NA	0.024826764014933	0.0123704526793745	0.0179965558466124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amoebiasis	4	NA	0.0060332236219667	NA	NA	NA	0.0236831677638791	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00371295230827766	NA	NA	8.98353014628293e-05	NA	NA	NA	NA	NA	NA
Drug metabolism - cytochrome P450	10	NA	0.0060332236219667	0.00461278595077605	NA	8.41422998502929e-07	NA	NA	NA	NA	NA	0.00461363296842753	NA	NA	NA	NA	2.03374004626992e-09	0.00413751327025163	NA	NA	0.00589467872965127	0.0019696671248292	0.00462367024299916	NA	NA	0.0121758133530348	NA	NA	NA	NA	NA	NA	NA	NA
Complement and coagulation cascades	18	NA	0.00784088403738041	NA	0.00580446400394191	1.40023837997009e-05	6.38157519802986e-09	NA	0.000627024486064333	NA	0.00398674078088524	NA	NA	NA	3.78807767499137e-05	0.00157960069865962	NA	0.00117631691284048	0.000934838042848271	NA	NA	0.00874614945019799	NA	NA	1.74887277605161e-05	1.70855694677203e-06	NA	2.02980387703745e-05	3.77294823580715e-06	0.0248438377250927	NA	0.0207010338645154	NA	0.0412174531342324
Taste transduction	7	NA	0.00803392040552826	0.0238459697269526	0.0314143539574743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.58172286143672e-05	NA	NA	0.000427712012109554	NA	NA	NA	0.0140012466562431	NA	NA	0.0288032981174205	NA	NA	NA	NA	NA	NA	NA	NA
Hematopoietic cell lineage	12	NA	0.00844376123952878	NA	0.000441512818280107	NA	2.90945459305264e-06	NA	4.49303822533452e-12	NA	0.000364860351000807	NA	NA	0.0401520451367989	NA	7.18804041372991e-06	NA	NA	0.00101290787189346	NA	NA	NA	NA	NA	2.98891993355508e-06	0.00484363659159839	NA	0.00730297890020726	0.0234242627913308	NA	NA	NA	NA	NA
Osteoclast differentiation	6	NA	0.0115694279636745	NA	NA	NA	0.00134889165238032	NA	0.0210503777238904	NA	NA	0.017392143959832	NA	NA	NA	0.00247771566535416	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0121185098043757	NA	NA	NA	NA	NA	NA	NA	NA
Morphine addiction	9	NA	0.0227324065606621	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0210367910030126	0.000784823054055485	NA	NA	0.0185307674430784	NA	NA	NA	0.0167451792495705	NA	NA	NA	NA	0.00237135590576121	0.0206519128098714	9.4523839968452e-05	NA	NA	0.000672320423409335	NA
Autoimmune thyroid disease	4	NA	0.0278713817510426	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00167001685866682	NA	NA	NA	0.0389039133823766	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0238410567476601	NA	NA	NA	NA
Tyrosine metabolism	7	NA	0.0319747797427603	NA	NA	NA	NA	NA	NA	NA	NA	0.00408969555001205	NA	NA	NA	NA	0.00133640837072249	0.0257712125247813	NA	NA	0.00566254572828518	0.0129751940937781	NA	NA	NA	NA	NA	NA	NA	0.0369410857770605	NA	NA	NA	NA
Allograft rejection	2	NA	0.0319747797427603	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00408044944971015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mineral absorption	6	NA	0.0358462726665597	0.00346713001688595	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0432408411136351	NA	NA	NA	0.0327923049681511	NA	NA	NA	NA	NA	NA	NA	0.000957259194473002	NA	NA	NA	NA	NA	0.0114336581382659	NA	NA
Pancreatic secretion	8	NA	NA	0.000661304246390813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0185307674430784	NA	0.0147537855918833	1.33942680811875e-06	NA	NA	0.0277540505529954	NA	NA	0.000920267796010207	NA	0.001329382351225	NA	NA	NA	0.00711339540578404
Primary immunodeficiency	3	NA	NA	0.0014274588267329	NA	NA	NA	NA	5.37432287456545e-05	NA	NA	NA	NA	0.0306054628877555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Natural killer cell mediated cytotoxicity	3	NA	NA	0.0115622184852435	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00173194008504253	NA	NA	NA	NA	NA	0.000177659778246169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
