Cancer	Characteristic	Type	Total	Percent	Events	
ACC			92		34	
	weiss_score_overall	Median(Range)	6(2-9)		28	
		Mean(SD)	5.49275362318841(¡À2.03370994234239)			
	mitoses_per_50_hpf	Median(Range)	7(0-129)		24	
		Mean(SD)	19.0327868852459(¡À27.7830687128658)			
	age_at_initial_pathologic_diagnosis	Median(Range)	48.5(14-83)		34	
		Mean(SD)	47.1630434782609(¡À16.3029540732523)			
	gender					
		FEMALE	60	65.22%	23	
		MALE	32	34.78%	11	
	pathologic_stage_v2					
		StageI/II	53	57.61%	9	
		StageIII/IV	37	40.22%	24	
	nuclear_grade_III_IV					
		Present	56	60.87%	21	
		Absent	15	16.30%	7	
	laterality					
		Left	52	56.52%	19	
		Right	40	43.48%	15	
	tumor_status					
		TUMOR_FREE	45	48.91%	2	
		WITH_TUMOR	45	48.91%	30	
	treatment_outcome_first_course_v2					
		Complete_Remission/Response	54	58.70%	7	
		Uncomplete_Remission/Response	25	27.17%	17	
	residual_tumor					
		R0	64	69.57%	14	1
		R2	12	13.04%	11	3
		R1	7	7.61%	5	2
		RX	6	6.52%	3	4
	new_tumor_event					
		No	48	52.17%	9	
		Yes	44	47.83%	25	
	radiation_therapy					
		NO	75	81.52%	27	
		YES	17	18.48%	7	
	postoperative_rx_tx					
		YES	55	59.78%	22	
		NO	37	40.22%	12	
	number_of_lymphnodes_positive_by_he					
		No	84	91.30%	29	
		Yes	8	8.70%	5	
	pharm_tx_mitotane_indicator					
		YES	55	59.78%	22	
		NO	37	40.22%	12	
	clinical_status_within_3_mths_surgery					
		No_evidence	72	78.26%	16	
		Disease	20	21.74%	18	
	ct_scan_preop_results.1					
		Normal	53	57.61%	13	
		Involvement	24	26.09%	15	
	history_adrenal_hormone_excess					
		Yes	54	58.70%	25	
		None	38	41.30%	9	
	atypical_mitotic_figures					
		Absent	35	38.04%	10	
		Present	33	35.87%	17	
	cytoplasm_presence_less_than_equal_25_percent					
		Present	57	61.96%	22	
		Absent	12	13.04%	5	
	diffuse_architecture					
		Present	50	54.35%	20	
		Absent	20	21.74%	7	
	invasion_of_tumor_capsule					
		Present	48	52.17%	22	
		Absent	35	38.04%	9	
	Mitotic_Rate_._5.50_HPF					
		Present	48	52.17%	24	
		Absent	32	34.78%	8	
	necrosis					
		Present	67	72.83%	29	
		Absent	20	21.74%	4	
	sinusoid_invasion					
		Absent	39	42.39%	11	
		Present	29	31.52%	15	
	weiss_venous_invasion					
		Absent	43	46.74%	12	
		Present	36	39.13%	19	
BLCA			412		181	
	BMI	Median(Range)	25.99841066(14.95844875-68.31944516)		154	
		Mean(SD)	27.0897833667127(¡À6.22711106076303)			
	tobacco_smoking_history	Median(Range)	2(1-5)		176	
		Mean(SD)	2.45864661654135(¡À1.16164377250659)			
	eastern_cancer_oncology_group	Median(Range)	1(0-4)		41	
		Mean(SD)	0.871287128712871(¡À0.770238486919911)			
	karnofsky_performance_score	Median(Range)	90(30-100)		64	
		Mean(SD)	83.0882352941177(¡À13.6904782202735)			
	age_at_initial_pathologic_diagnosis	Median(Range)	69(34-90)		181	
		Mean(SD)	68.0970873786408(¡À10.5827887291938)			
	race					
		WHITE	327	79.37%	152	
		ASIAN	44	10.68%	9	
		BLACK_OR_AFRICAN_AMERICAN	23	5.58%	13	
	gender					
		MALE	304	73.79%	130	
		FEMALE	108	26.21%	51	
	BMI_category					
		Normal	150	36.41%	56	
		Over	125	30.34%	63	
		Obesity	87	21.12%	35	
	tobacco_smoking_history_v2					
		Yes	399	96.84%	176	
		No	13	3.16%	5	
	pathologic_stage_v2					
		StageIII/IV	277	67.23%	145	
		StageI/II	133	32.28%	35	
	histological_grade					
		High_Grade	388	94.17%	179	
		Low_Grade	21	5.10%	2	
	tumor_status					
		TUMOR_FREE	222	53.88%	43	
		WITH_TUMOR	165	40.05%	124	
	treatment_outcome_first_course					
		Complete_Remission/Response	234	56.80%	57	1
		Progressive_Disease	68	16.50%	54	4
		Stable_Disease	30	7.28%	18	3
		Partial_Remission/Response	23	5.58%	17	2
	treatment_outcome_first_course_v2					
		Complete_Remission/Response	234	56.80%	57	
		Uncomplete_Remission/Response	121	29.37%	89	
	new_tumor_event					
		No	268	65.05%	88	
		Yes	144	34.95%	93	
	history_other_malignancy					
		No	303	73.54%	130	
		Yes	109	26.46%	51	
	pharmaceutical_tx_adjuvant					
		NO	335	81.31%	149	
		YES	77	18.69%	32	
	number_of_lymphnodes_positive_by_he					
		None	292	70.87%	103	
		Yes	120	29.13%	78	
	noninvasive_bladder_history					
		NO	346	83.98%	152	
		YES	66	16.02%	29	
	tobacco_smoking_age_started					
		NO	237	57.52%	103	
		YES	175	42.48%	78	
	family_history_cancer_type					
		No	269	65.29%	115	
		Yes	143	34.71%	66	
	histologic_subtype					
		Non-Papillary	274	66.50%	135	
		Papillary	133	32.28%	42	
	lymphovascular_invasion					
		NO	259	62.86%	99	
		YES	153	37.14%	82	
	extracapsular_extension					
		NO	339	82.28%	140	
		YES	73	17.72%	41	
	incidental_prostate_cancer_indicator					
		NO	326	79.13%	139	
		YES	86	20.87%	42	
BRCA			1097		151	
	age_at_initial_pathologic_diagnosis	Median(Range)	58(26-90)		151	
		Mean(SD)	58.4489051094891(¡À13.2142561277647)			
	race					
		WHITE	757	69.01%	111	
		BLACK_OR_AFRICAN_AMERICAN	183	16.68%	30	
		ASIAN	61	5.56%	3	
		AMERICAN_INDIAN_OR_ALASKA_NATIVE	1	0.09%	0	
	gender					
		FEMALE	1085	98.91%	150	
