|57714
CC2D2A|57545
CCBE1|147372
CCDC102B|79839
CCDC12|151903
CCDC124|115098
CCDC144B|284047
CCDC22|28952
CCDC24|149473
CCDC46|201134
CCDC50|152137
CCDC56|28958
CCDC61|729440
CCDC75|253635
CCDC80|151887
CCDC8|83987
CCDC88A|55704
CCNI|10983
CCNT1|904
CCPG1|9236
CCR1|1230
CCR2|729230
CCR4|1233
CCR5|1234
CCR8|1237
CCT7|10574
CD163|9332
CD200R1|131450
CD226|10666
CD274|29126
CD28|940
CD2BP2|10421
CD300E|342510
CD302|9936
CD33|945
CD3G|917
CD4|920
CD53|963
CD84|8832
CD86|942
CD93|22918
CDC14A|8556
CDC14C|168448
CDC27|996
CDC34|997
CDC37|11140
CDC42EP3|10602
CDCA3|83461
CDH11|1009
CDH5|1003
CDH6|1004
CDK10|8558
CDK15|65061
CDK5RAP1|51654
CDK5RAP3|80279
CDKL1|8814
CDKL5|6792
CDYL2|124359
CELF2|10659
CENPC1|1060
CEP170|9859
CEP170L|645455
CEP350|9857
CEP68|23177
CEP97|79598
CFH|3075
CGGBP1|8545
CHCHD10|400916
CHCHD1|118487
CHCHD2|51142
CHCHD5|84269
CHCHD8|51287
CHD1|1105
CHD9|80205
CHL1|10752
CHM|1121
CHMP2A|27243
CHMP4B|128866
CHRDL1|91851
CHRNA6|8973
CHST3|9469
CHSY1|22856
CHSY3|337876
CHTF18|63922
CILP|8483
CISD3|284106
CLASP1|23332
CLEC5A|23601
CLEC7A|64581
CLIC2|1193
CLIC4|25932
CLIP1|6249
CLOCK|9575
CLPP|8192
CLPTM1L|81037
CLSTN2|64084
CMKLR1|1240
CMYA5|202333
CNKSR2|22866
CNN3|1266
CNPY2|10330
CNTLN|54875
CNTN1|1272
CNTN4|152330
CNTNAP1|8506
COASY|80347
COBLL1|22837
COBRA1|25920
COL12A1|1303
COL14A1|7373
COL15A1|1306
COL1A2|1278
COL21A1|81578
COL3A1|1281
COL4A1|1282
COL4A2|1284
COL4A3BP|10087
COL4A5|1287
COL5A1|1289
COL5A2|1290
COL6A3|1293
COL8A1|1295
COLEC12|81035
COMMD4|54939
COMMD7|149951
COPE|11316
COPS6|10980
COPZ1|22818
COQ4|51117
CORIN|10699
COX16|51241
COX17|10063
COX19|90639
COX4I1|1327
COX4NB|10328
COX5A|9377
COX5B|1329
COX6A1|1337
COX6B1|1340
COX6C|1345
COX7A2|1347
COX7B|1349
COX8A|1351
CPA3|1359
CPEB1|64506
CPEB2|132864
CPEB4|80315
CPSF4|10898
CPXM2|119587
CR1|1378
CREB1|1385
CREB3L2|64764
CREBBP|1387
CRIM1|51232
CRISPLD1|83690
CRISPLD2|83716
CRK|1398
CRTC3|64784
CRYBG3|131544
CSF1|1435
CSF1R|1436
CSF2RA|1438
CSF2RB|1439
CSGALNACT2|55454
CSMD2|114784
CSNK1G1|53944
CSNK2A1P|283106
CSNK2B|1460
CSRNP3|80034
CTDSP2|10106
CTDSPL2|51496
CTGF|1490
CTSO|1519
CTTNBP2|83992
CTTNBP2NL|55917
CTU1|90353
CTU2|348180
CUL5|8065
CUTA|51596
CXCR2|3579
CXorf21|80231
CYBB|1536
CYBRD1|79901
CYC1|1537
CYHR1|50626
CYP1B1|1545
CYP2U1|113612
CYP7B1|9420
CYS1|192668
CYSLTR1|10800
CYSLTR2|57105
CYTH3|9265
CYTSA|23384
CYYR1|116159
DAAM1|23002
DAAM2|23500
DAB2|1601
DACT1|51339
DAZAP1|26528
DBNDD2|55861
DBT|1629
DCAF17|80067
DCHS1|8642
DCI|1632
DCLK1|9201
DCN|1634
DCP1A|55802
DCUN1D1|54165
DCXR|51181
DDA1|79016
DDI2|84301
DDR2|4921
DDRGK1|65992
DDT|1652
DDTL|100037417
DDX21|9188
DDX39|10212
DDX3X|1654
DDX49|54555
DDX56|54606
DDX6|1656
DENND2C|163259
DENND4A|10260
DENND4C|55667
DENND5A|23258
DGAT1|8694
DGKI|9162
DGKZ|8525
DGUOK|1716
DHPS|1725
DHRS13|147015
DHRS4L2|317749
DHX33|56919
DHX36|170506
DIABLO|56616
DICER1|23405
DIO2|1734
DIP2C|22982
DIXDC1|85458
DKK2|27123
DKK3|27122
DLC1|10395
DLG2|1740
DMD|1756
DMGDH|29958
DMXL1|1657
DNAJB14|79982
DNAJB4|11080
DNAJC13|23317
DNASE1L2|1775
DOCK10|55619
DOCK11|139818
DOCK1|1793
DOCK2|1794
DOCK4|9732
DOCK7|85440
DOCK9|23348
DOHH|83475
DOK5|55816
DOK6|220164
DPH3B|100132911
DPM2|8818
DPM3|54344
DPP8|54878
DPY19L3|147991
DPYD|1806
DR1|1810
DSE|29940
DSEL|92126
DST|667
DSTYK|25778
DTWD2|285605
DTYMK|1841
DUS1L|64118
DUS3L|56931
DYNLRB1|83658
DYSF|8291
DZIP1|22873
E4F1|1877
EBF2|64641
EBP|10682
ECHS1|1892
ECM2|1842
EDF1|8721
EDIL3|10085
EDNRA|1909
EDNRB|1910
EEA1|8411
EFEMP1|2202
EFR3A|23167
EGFR|1956
EGR2|1959
EHD3|30845
EIF2AK1|27102
EIF2B5|8893
EIF2C3|192669
EIF2C4|192670
EIF3B|8662
EIF3G|8666
EIF4G3|8672
EIF5A|1984
EIF6|3692
ELF1|1997
ELK3|2004
ELK4|2005
ELN|2006
ELTD1|64123
EMD|2010
EMG1|10436
EML1|2009
EMR2|30817
ENAH|55740
ENDOG|2021
ENOX1|55068
ENPEP|2028
ENTPD1|953
ENTPD6|955
ENTPD7|57089
EP300|2033
EPB41L2|2037
EPC1|80314
EPC2|26122
EPHA3|2042
EPS15|2060
ERAL1|26284
ERBB2IP|55914
ERCC4|2072
ERCC6|2074
ERG|2078
ERGIC3|51614
ERN1|2081
ESR1|2099
ETFB|2109
ETS1|2113
ETV3|2117
EVC|2121
EVC2|132884
EVI2A|2123
EVI2B|2124
EVI5|7813
EXOC5|10640
EXOC6B|23233
EXOSC4|54512
EXOSC8|11340
EXTL2|2135
EYA3|2140
F13A1|2162
F2R|2149
F2RL2|2151
FAM100A|124402
FAM100B|283991
FAM102B|284611
FAM108A1|81926
FAM114A1|92689
FAM114A2|10827
FAM115A|9747
FAM123B|139285
FAM124A|220108
FAM124B|79843
FAM126A|84668
FAM128A|653784
FAM128B|80097
FAM129A|116496
FAM13B|51306
FAM13C|220965
FAM151B|167555
FAM158A|51016
FAM160B1|57700
FAM161B|145483
FAM168A|23201
FAM171B|165215
FAM173A|65990
FAM179B|23116
FAM180A|389558
FAM190B|54462
FAM195A|84331
FAM196B|100131897
FAM198A|729085
FAM198B|51313
FAM26E|254228
FAM38B|63895
FAM3A|60343
FAM45B|55855
FAM48B1|100130302
FAM49A|81553
FAM50A|9130
FAM58A|92002
FAM63B|54629
FAM73A|374986
FAM96B|51647
FAM98B|283742
FAM98C|147965
FARSA|2193
FASTK|10922
FAT3|120114
FAT4|79633
FAU|2197
FBLN1|2192
FBLN2|2199
FBLN5|10516
FBN1|2200
FBXL15|79176
FBXL3|26224
FBXL6|26233
FBXL7|23194
FBXO11|80204
FBXO30|84085
FBXO38|81545
FBXO46|23403
FBXW2|26190
FBXW4|6468
FBXW5|54461
FBXW9|84261
FCGR2A|2212
FCGR2B|2213
FCGR2C|9103
FCGR3A|2214
FCHO2|115548
FCHSD2|9873
FEM1B|10116
FER|2241
FERMT2|10979
FGF10|2255
FGF2|2247
FGF7|2252
FGL2|10875
FGR|2268
FHL5|9457
FIBIN|387758
FIBP|9158
FIGN|55137
FILIP1|27145
FILIP1L|11259
FIS1|51024
FKBP14|55033
FKBP2|2286
FKBP7|51661
FKBP8|23770
FLAD1|80308
FLG|2312
FLI1|2313
FLNA|2316
FLRT2|23768
FLT1|2321
FMNL2|114793
FMNL3|91010
FMO1|2326
FMO2|2327
FN1|2335
FNDC1|84624
FNDC3B|64778
FNIP1|96459
FNIP2|57600
FOXF1|2294
FOXN2|3344
FOXN3|1112
FOXO1|2308
FOXO3|2309
FOXO3B|2310
FOXP2|93986
FOXRED1|55572
FPGS|2356
FPR1|2357
FPR2|2358
FPR3|2359
FREM1|158326
FRMD3|257019
FRMD4A|55691
FRMD6|122786
FRRS1|391059
FRY|10129
FSTL1|11167
FTO|79068
FUT11|170384
FYB|2533
FYCO1|79443
FYTTD1|84248
FZD1|8321
FZD4|8322
G6PC3|92579
GAB1|2549
GAB3|139716
GABPA|2551
GADD45GIP1|90480
GAPVD1|26130
GAS2L3|283431
GAS7|8522
GATSL1|389523
GBP5|115362
GCNT4|51301
GDF6|392255
GEM|2669
GEMIN7|79760
GET4|51608
GFER|2671
GFPT2|9945
GHR|2690
GIGYF2|26058
GIMAP4|55303
GIMAP6|474344
GIMAP8|155038
GIPC1|10755
GIT2|9815
GIYD2|79008
GJA1|2697
GJC1|10052
GJD3|125111
GLI1|2735
GLI2|2736
GLI3|2737
GLI4|2738
GLIPR1|11010
GLIS3|169792
GLP2R|9340
GLT8D2|83468
GLUD2|2747
GMCL1|64395
GMEB2|26205
GMPPA|29926
GNA13|10672
GNAL|2774
GNB2|2783
GNB4|59345
GNG12|55970
GNL3L|54552
GNPTAB|79158
GOLIM4|27333
GOPC|57120
GP5|2814
GPATCH8|23131
GPNMB|10457
GPR116|221395
GPR124|25960
GPR133|283383
GPR141|353345
GPR155|151556
GPR161|23432
GPR174|84636
GPR176|11245
GPR183|1880
GPR34|2857
GPR63|81491
GPRIN3|285513
GPS1|2873
GPX4|2879
GREB1|9687
GREM1|26585
GRINL1A|81488
GSS|2937
GSTM5|2949
GTF2A1|2957
GTF3A|2971
GTF3C4|9329
GTF3C5|9328
GUCY1A2|2977
GUCY1A3|2982
GUCY1B3|2983
GUK1|2987
GULP1|51454
GVIN1|387751
GXYLT2|727936
H1FX|8971
H2AFX|3014
HACE1|57531
HAND2|9464
HAUS7|55559
HAVCR2|84868
HAX1|10456
HCFC2|29915
HCG11|493812
HDGFRP2|84717
HDX|139324
HEATR5A|25938
HEATR5B|54497
HECTD1|25831
HECTD2|143279
HEG1|57493
HELB|92797
HELZ|9931
HERC1|8925
HERC3|8916
HEYL|26508
HFE|3077
HGF|3082
HIAT1|64645
HIF1A|3091
HIGD2A|192286
HINT1|3094
HINT2|84681
HIP1|3092
HIPK1|204851
HIPK3|10114
HIVEP1|3096
HIVEP2|3097
HLA-DOA|3111
HLA-DPA1|3113
HLA-DRA|3122
HM13|81502
HMBOX1|79618
HMBS|3145
HMCN1|83872
HMG20A|10363
HMG20B|10362
HOMER1|9456
HOOK3|84376
HPGDS|27306
HPS5|11234
HRAS|3265
HRH2|3274
HS2ST1|9653
HSD11B1|3290
HSD17B10|3028
HSPA12A|259217
HSPA13|6782
HSPBP1|23640
HSPG2|3339
HTR1F|3355
HTR2A|3356
HUNK|30811
HUWE1|10075
ICA1|3382
ICT1|3396
IDE|3416
IDH3B|3420
IDH3G|3421
IFI27L2|83982
IFNAR1|3454
IFT27|11020
IGDCC4|57722
IGF1|3479
IGF2R|3482
IGFBP5|3488
IGFBP7|3490
IGSF6|10261
IKZF1|10320
IKZF3|22806
IL1R1|3554
IL1RL2|8808
IL2RA|3559
IL6R|3570
IL6ST|3572
IL7R|3575
ILDR2|387597
ILKAP|80895
ILVBL|10994
IMP3|55272
INHBA|3624
INO80B|83444
INO80C|125476
INO80E|283899
INPP4A|3631
IPMK|253430
IPP|3652
IQCA1|79781
IQGAP1|8826
IRAK3|11213
IREB2|3658
IRF3|3661
ISM1|140862
ISOC2|79763
ITGA1|3672
ITGA4|3676
ITGA8|8516
ITGA9|3680
ITGAV|3685
ITGB1|3688
ITGB2|3689
ITGB3|3690
ITGBL1|9358
ITK|3702
ITPA|3704
ITPR1|3708
ITPR2|3709
ITPRIPL1|150771
ITSN1|6453
JAK1|3716
JAK2|3717
JAM2|58494
JAM3|83700
JMJD1C|221037
JMJD4|65094
JMY|133746
JOSD2|126119
JTB|10899
KAL1|3730
KANK2|25959
KAT2A|2648
KAT2B|8850
KATNAL1|84056
KCNA3|3738
KCND2|3751
KCND3|3752
KCNE4|23704
KCNT2|343450
KCTD10|83892
KCTD20|222658
KDELC1|79070
KDELC2|143888
KDELR1|10945
KDR|3791
KERA|11081
KIAA0240|23506
KIAA0247|9766
KIAA0355|9710
KIAA0494|9813
KIAA0564|23078
KIAA0754|643314
KIAA0947|23379
KIAA1012|22878
KIAA1024|23251
KIAA1033|23325
KIAA1109|84162
KIAA1217|56243
KIAA1267|284058
KIAA1430|57587
KIAA1432|57589
KIAA1462|57608
KIAA1586|57691
KIAA1614|57710
KIAA2018|205717
KIAA2026|158358
KIDINS220|57498
KIF13A|63971
KIF1B|23095
KIF22|3835
KIF2A|3796
KIRREL|55243
KIT|3815
KITLG|4254
KLF10|7071
KLF12|11278
KLF13|51621
KLF16|83855
KLF7|8609
KLF8|11279
KLF9|687
KLHDC10|23008
KLHDC4|54758
KLHL11|55175
KLHL18|23276
KLHL20|27252
KLHL24|54800
KLHL28|54813
KLHL4|56062
KLHL5|51088
KLHL6|89857
KLHL8|57563
KPNA5|3841
KRTCAP2|200185
LAGE3|8270
LAIR1|3903
LAMA2|3908
LAMA4|3910
LAMB1|3912
LAMC1|3915
LAMP2|3920
LANCL1|10314
LATS1|9113
LATS2|26524
LAX1|54900
LAYN|143903
LCA5|167691
LCMT1|51451
LCOR|84458
LCP2|3937
LDB2|9079
LDLRAD3|143458
LENG1|79165
LEPR|3953
LEPROT|54741
LHFP|10186
LHFPL2|10184
LIFR|3977
LILRA1|11024
LILRA6|79168
LILRB2|10288
LIMS1|3987
LIN7A|8825
LIPA|3988
LMAN2|10960
LMBRD2|92255
LMOD1|25802
LNPEP|4012
LOC100132707|100132707
LOC100216545|100216545
LOC100271836|100271836
LOC100272216|100272216
LOC149837|149837
LOC152217|152217
LOC284441|284441
LOC339524|339524
LOC387646|387646
LOC388789|388789
LOC388796|388796
LOC389458|389458
LOC399959|399959
LOC650623|650623
LOC653653|653653
LOC728323|728323
LOC729020|729020
LOC729991|729991
LOC90586|90586
LONP2|83752
LOX|4015
LOXL3|84695
LPAR1|1902
LPAR4|2846
LPHN2|23266
LPP|4026
LPPR4|9890
LRCH2|57631
LRCH3|84859
LRDD|55367
LRFN5|145581
LRIG2|9860
LRP12|29967
LRP1|4035
LRRC25|126364
LRRC32|2615
LRRC40|55631
LRRC45|201255
LRRC58|116064
LRRC8C|84230
LRRK1|79705
LRRK2|120892
LRWD1|222229
LSAMP|4045
LSM4|25804
LSM5|23658
LSM7|51690
LSMD1|84316
LTBP1|4052
LTBP2|4053
LUM|4060
LUZP1|7798
LYPLA2|11313
LYSMD3|116068
LYSMD4|145748
LYST|1130
LZTS1|11178
MAB21L1|4081
MACF1|23499
MAF1|84232
MAGI3|260425
MALT1|10892
MAMDC2|256691
MAML1|9794
MAML2|84441
MAN1A1|4121
MAN1A2|10905
MAN1C1|57134
MAN2A1|4124
MANBAL|63905
MANEA|79694
MAP1A|4130
MAP1B|4131
MAP2K2|5605
MAP3K1|4214
MAP3K2|10746
MAP3K3|4215
MAP3K7|6885
MAP4|4134
MAP4K5|11183
MAP7D3|79649
MAP9|79884
MAPK1|5594
MAPK8|5599
MARCH1|55016
MARCH8|220972
MAST4|375449
MAZ|4150
MBD5|55777
MBNL1|4154
MBNL3|55796
MCAT|27349
MCC|4163
MCFD2|90411
MCRS1|10445
MCTP1|79772
MCTS1|28985
MDFIC|29969
MDGA1|266727
MDH2|4191
MDN1|23195
MED10|84246
MED13|9969
MED13L|23389
MED1|5469
MED16|10025
MED25|81857
MEF2A|4205
MEF2C|4208
MEFV|4210
MEIS3P1|4213
MEOX2|4223
MERTK|10461
MEX3B|84206
MFAP3|4238
MFAP3L|9848
MFAP4|4239
MFHAS1|9258
MFSD1|64747
MFSD3|113655
MGA|23269
MGAT5|4249
MGC70857|414919
MIB1|57534
MIER1|57708
MIF|4282
MITF|4286
MKL2|57496
MKLN1|4289
MLF2|8079
MLL3|58508
MLL|4297
MLL5|55904
MLLT10|8028
MLST8|64223
MLXIP|22877
MMAB|326625
MMP16|4325
MMP2|4313
MNDA|4332
MOB2|81532
MOBKL1B|55233
MORC3|23515
MOSPD2|158747
MOSPD3|64598
MOXD1|26002
MPDZ|8777
MPEG1|219972
MPG|4350
MPHOSPH8|54737
MPHOSPH9|10198
MPND|84954
MPZL3|196264
MRAS|22808
MRC1|4360
MRP63|78988
MRPL11|65003
MRPL12|6182
MRPL17|63875
MRPL20|55052
MRPL21|219927
MRPL23|6150
MRPL24|79590
MRPL2|51069
MRPL27|51264
MRPL28|10573
MRPL34|64981
MRPL36|64979
MRPL38|64978
MRPL41|64975
MRPL43|84545
MRPL4|51073
MRPL46|26589
MRPL48|51642
MRPL51|51258
MRPL52|122704
MRPL53|116540
MRPL54|116541
MRPL55|128308
MRPL9|65005
MRPS12|6183
MRPS15|64960
MRPS16|51021
MRPS17|51373
MRPS18A|55168
MRPS24|64951
MRPS2|51116
MRPS26|64949
MRPS34|65993
MRPS5|64969
MRVI1|10335
MS4A2|2206
MS4A4A|51338
MS4A6A|64231
MS4A7|58475
MSN|4478
MSR1|4481
MSRB3|253827
MTG1|92170
MTMR2|8898
MTMR6|9107
MTMR9|66036
MTOR|2475
MTR|4548
MTX1|4580
MUM1L1|139221
MVK|4598
MXD3|83463
MXRA5|25878
MYCBP2|23077
MYEOV2|150678
MYH10|4628
MYLK|4638
MYO5A|4644
MYO9A|4649
MYOZ3|91977
MYPOP|339344
MYSM1|114803
MYST3|7994
MYST4|23522
N4BP2|55728
NAA10|8260
NAA38|51691
NAALAD2|10003
NAIP|4671
NARF|26502
NARFL|64428
NAT9|26151
NAV3|89795
NBEAL1|65065
NBLA00301|79804
NBN|4683
NBPF10|100132406
NBPF14|25832
NBPF1|55672
NBPF9|400818
NCAM2|4685
NCAPH2|29781
NCF2|4688
NCKAP1|10787
NCKAP1L|3071
NCKAP5|344148
NCLN|56926
NCOA1|8648
NCOA2|10499
NCOA3|8202
NCOA4|8031
NCOR1|9611
NCRNA00116|205251
NDOR1|27158
NDUFA11|126328
NDUFA13|51079
NDUFA1|4694
NDUFA2|4695
NDUFA3|4696
NDUFA7|4701
NDUFA9|4704
NDUFAB1|4706
NDUFAF3|25915
NDUFB10|4716
NDUFB11|54539
NDUFB1|4707
NDUFB2|4708
NDUFB7|4713
NDUFB8|4714
NDUFB9|4715
NDUFC1|4717
NDUFC2|4718
NDUFS3|4722
NDUFS5|4725
NDUFS6|4726
NDUFS7|374291
NDUFS8|4728
NDUFV1|4723
NDUFV2|4729
NECAB3|63941
NEDD1|121441
NEDD4|4734
NEFH|4744
NEGR1|257194
NEK1|4750
NEU3|10825
NEXN|91624
NF1|4763
NFAT5|10725
NFATC2|4773
NFIC|4782
NFIX|4784
NFKBIL1|4795
NHLRC2|374354
NHP2|55651
NHP2L1|4809
NHSL2|340527
NID1|4811
NID2|22795
NIN|51199
NIPAL2|79815
NIPBL|25836
NIPSNAP3B|55335
NLGN4X|57502
NLRC4|58484
NLRP12|91662
NLRP3|114548
NME3|4832
NMRAL1|57407
NOC4L|79050
NOL12|79159
NOS1|4842
NOSIP|51070
NOTCH2|4853
NOTCH3|4854
NPAT|4863
NPR2|4882
NPRL2|10641
NR2C2|7182
NR2C2AP|126382
NR2F1|7025
NR2F2|7026
NR2F6|2063
NR3C1|2908
NRIP1|8204
NRK|203447
NRP1|8829
NRP2|8828
NRXN3|9369
NSD1|64324
NSUN5P1|155400
NT5C|30833
NTHL1|4913
NTM|50863
NUAK1|9891
NUBP2|10101
NUDC|10726
NUDT14|256281
NUDT1|4521
NUDT16L1|84309
NUDT22|84304
NUP153|9972
NUP160|23279
NUTF2|10204
NXT1|29107
OAZ1|4946
OCEL1|79629
ODZ3|55714
OGFOD2|79676
OGFR|11054
OGFRL1|79627
OGN|4969
OLFML1|283298
OLFML2B|25903
OLFML3|56944
OLR1|4973
OMD|4958
OPHN1|4983
OSBPL11|114885
OSBPL8|114882
OSMR|9180
OSTM1|28962
OTUB1|55611
OTUD4|54726
OVCA2|124641
OXR1|55074
P2RX7|5027
P2RY12|64805
P2RY13|53829
P2RY14|9934
P2RY1|5028
PABPC4L|132430
PABPC5|140886
PABPN1|8106
PAFAH1B2|5049
PAFAH1B3|5050
PAG1|55824
PALLD|23022
PALM2-AKAP2|445815
PAMR1|25891
PAPOLG|64895
PAPPA|5069
PAR5|8123
PARD3B|117583
PARD6G|84552
PARVA|55742
PBRM1|55193
PBX1|5087
PCDH17|27253
PCDH18|54510
PCDH19|57526
PCDH7|5099
PCDH9|5101
PCDHA10|56139
PCDHB15|56121
PCDHB18|54660
PCDHGA10|56106
PCDHGA11|56105
PCDHGA12|26025
PCDHGA2|56113
PCDHGA3|56112
PCDHGA4|56111
PCDHGA5|56110
PCDHGA6|56109
PCDHGA9|56107
PCDHGB6|56100
PCDHGB7|56099
PCGF1|84759
PCNX|22990
PCSK5|5125
PCYOX1|51449
PCYT1A|5130
PDAP1|11333
PDCD1LG2|80380
PDCD2L|84306
PDCD6|10016
PDE1A|5136
PDE3A|5139
PDE5A|8654
PDE8B|8622
PDF|64146
PDGFC|56034
PDGFD|80310
PDGFRA|5156
PDGFRB|5159
PDLIM3|27295
PDLIM5|10611
PDPR|55066
PDRG1|81572
PDS5B|23047
PDZD8|118987
PEX16|9409
PFDN2|5202
PFDN6|10471
PGLS|25796
PGP|283871
PGR|5241
PHACTR2|9749
PHAX|51808
PHB|5245
