Cluster	Name	Number	ACC	BLCA	BRCA	CESC	CHOL	COAD	DLBC	ESCA	GBM	HNSC	KICH	KIRC	KIRP	LAML	LGG	LIHC	LUAD	LUSC	MESO	OV	PAAD	PCPG	PRAD	READ	SARC	SKCM	STAD	TGCT	THCA	THYM	UCEC	UCS	UVM
NA	NA	NA	11	20	17	31	17	41	0	43	17	31	12	18	22	37	25	22	20	27	28	11	26	16	6	30	33	24	43	35	21	18	24	9	NA
1	proteinaceous extracellular matrix	31	1.02036213163105e-05	1.46177923518492e-07	5.62240189700369e-06	1.83403462494108e-36	0.000580557650572876	9.98514490251814e-54	NA	1.33367539764762e-36	4.97472588604055e-06	3.69480966708418e-32	3.4637604347723e-08	0.000349374049689464	1.10628871345968e-07	7.53620862327064e-16	1.81478774487613e-05	0.0013294539462051	6.66643519379596e-07	2.32692306921706e-47	5.38852967302508e-22	6.11431095671536e-06	2.40920754469633e-25	1.7634514993152e-18	NA	1.39244947442634e-51	1.21075534493231e-10	1.77240535655069e-33	9.87670900332848e-54	1.27603916357253e-10	5.96977050993374e-10	6.27225168839787e-05	0.000456977974540108	0.0364264044265018	9.26409439764352e-16
1	extracellular matrix	31	1.02036213163105e-05	1.3626728649267e-09	1.56325139146886e-07	4.81741654766011e-39	5.37570215897555e-08	1.05565935505314e-58	NA	1.73035552826489e-43	4.94243114467641e-07	1.71966500749246e-37	4.05158314220838e-11	0.000100413879262832	2.47498973602612e-11	1.42794849560761e-26	3.6703713850638e-06	0.00674885731288338	3.24425290394362e-10	3.28348865021487e-53	1.3401174420763e-21	7.26776746978723e-09	1.26586291998753e-25	9.67685289631611e-18	NA	2.63388424603353e-53	1.31437085796328e-12	1.13262771762857e-37	2.11287204712374e-63	9.818034141021e-12	5.96977050993374e-10	2.7091524117027e-06	9.91426317510235e-05	0.0451260675090212	1.07487068548152e-17
1	transporter complex	28	0.0245196465841135	0.0339268831860281	0.00038080775182753	6.42732956530895e-09	NA	1.4153780099075e-13	NA	1.00544290923995e-09	0.0213427096375416	8.69482672030974e-13	NA	0.00384641054494134	0.00154744374258161	0.0010339205586154	2.72124742450153e-12	5.18170103306363e-05	1.03354956565478e-06	1.37787899519412e-05	1.51731040570661e-06	0.0216155563357586	8.1186519643602e-06	7.97185763723687e-05	NA	0.000130059155758774	4.12493675902851e-12	1.84696535032378e-09	8.41020467005879e-14	1.48034058510168e-10	7.36249125041913e-09	1.73613991095068e-06	0.0021282315211014	0.00819079987103917	NA
1	receptor complex	27	0.0426019365741745	0.0175295809190101	0.00104105345574662	2.59555937259375e-08	9.37787438401685e-07	3.07662458048152e-14	NA	8.81549047823557e-11	0.00646591879898667	4.95022205108248e-12	NA	NA	0.0210598598097873	5.51623596326782e-11	1.77632833617112e-14	0.000238118376612749	3.75930217386958e-05	2.79427007253551e-10	8.81583714027132e-15	NA	4.62590960280556e-05	7.21257640620208e-10	NA	2.14557754300814e-07	3.24557335343963e-05	1.17200861046458e-06	3.00092945628617e-11	3.26211081219008e-07	1.41977850485921e-05	0.0299483745782538	0.00126820132365388	NA	0.000160272368543765
1	collagen trimer	23	0.01699226566034	0.000223922721102116	0.00234950582467731	3.0569554758259e-07	0.0151755592195164	5.966725448267e-19	NA	7.18800354427592e-11	4.97472588604055e-06	1.15028232978853e-08	0.017810118662399	NA	0.000683895766977968	4.0023969758103e-07	0.0147549655341727	NA	NA	1.58432386851352e-21	7.32368735248213e-13	NA	5.67645007681824e-09	3.6543051612486e-10	NA	1.03779628286205e-18	9.03084836028014e-05	2.44099059086717e-09	2.0692124869737e-16	1.79799400756945e-05	NA	NA	NA	NA	2.91252473384447e-06
1	postsynapse	22	NA	0.0300121029893937	0.00821490095556748	8.10925484058688e-06	NA	1.27147646956325e-13	NA	2.98228156317996e-07	0.00646591879898667	2.11309534243405e-08	NA	NA	NA	1.03217540806217e-05	1.25286888487286e-07	0.000238118376612749	NA	0.00352652365968176	3.89020346518868e-06	0.000325841849449528	0.00429655924113146	NA	NA	5.09014579783341e-05	0.000588300980879783	NA	1.15748135543349e-14	0.000194497420200997	0.000806423953520279	0.00538967567927999	0.0340711616705525	0.011955107351158	NA
1	cell body	20	NA	0.0103284165110508	NA	0.000126994495338955	NA	5.66498765789196e-11	NA	3.80979796847685e-06	NA	0.00206667010498085	0.0271740769215686	NA	0.0210598598097873	5.66006940611961e-06	8.46626124810549e-07	0.0013294539462051	NA	0.00392644540604381	0.00103734790429253	0.00473852206958909	0.0177321535162963	NA	NA	0.00130772914794519	0.000192221853146511	0.0129384780347665	7.55803792935135e-08	0.00205471287540088	0.00552977801448534	NA	NA	NA	NA
1	synaptic membrane	19	0.00656371955181722	NA	0.000155690151980097	3.47681933059382e-06	NA	1.27147646956325e-13	NA	3.73455588713382e-09	0.0213427096375416	6.51115506564091e-10	0.000542718271328247	0.00591205204547782	NA	4.61292306754087e-10	4.16900349272411e-11	NA	NA	0.000151731458598777	1.42757084688933e-08	NA	0.00201869762107781	0.0161102856170679	NA	NA	1.34978221405373e-07	NA	2.6363570542937e-16	1.31730204220984e-06	NA	NA	0.00227158141620252	NA	NA
1	anchored component of membrane	19	NA	4.45427922211411e-05	8.81669588815342e-05	0.000339788174695745	NA	4.46895029666693e-05	NA	0.000144481523471167	NA	4.49422720429421e-07	NA	0.0357071123316283	0.000567317368478828	1.22401383654284e-09	NA	0.0013294539462051	1.93668773484261e-05	NA	5.36484051143317e-05	NA	0.000149010688513611	NA	NA	0.00986674663086348	2.60989787824831e-06	0.00353536489522441	9.22294532591157e-05	0.00999095567085578	2.74072272776115e-05	NA	NA	NA	NA
1	neuronal cell body	19	NA	0.00753741647308093	NA	0.000901908299979329	NA	1.35137114759326e-10	NA	8.66117862452271e-06	NA	0.00142990836817728	0.0271740769215686	NA	NA	7.25503537869868e-07	5.55540326405661e-07	0.00138538423254545	NA	0.000950681474420666	0.00117653993073641	0.00698944688869054	NA	0.0427521666172786	NA	0.00216234722021241	0.000808753705108932	0.009480777242353	7.55803792935135e-08	0.0164155204347486	0.00226018663650135	NA	NA	NA	NA
1	external side of plasma membrane	18	NA	5.94921834326026e-08	0.00272843894366415	2.31120331907811e-07	0.00876065906535224	2.77091989519391e-15	NA	4.55275012087478e-14	NA	5.25940119794534e-11	NA	NA	0.00047998156255485	2.23297261314561e-08	2.72124742450153e-12	NA	0.000690716660554983	6.11409362565078e-10	5.77437066829441e-06	NA	0.000447242967193972	NA	NA	3.08944278312129e-13	8.58993352528739e-05	0.00679792537379372	1.70584783442391e-08	NA	NA	NA	NA	NA	NA
2	endoplasmic reticulum lumen	17	0.0426019365741745	NA	NA	NA	9.37787438401685e-07	6.95471495874173e-12	NA	7.91600499239254e-07	0.00105736311677765	NA	0.00504858433136865	NA	0.0149327294480793	4.85259959913355e-07	NA	NA	NA	4.76832589720716e-09	3.88353718434295e-05	NA	0.000154134812357702	4.83536275305424e-07	NA	1.82664466832984e-10	NA	0.0139070730056069	5.93133692194579e-10	NA	NA	0.0306447915496745	NA	NA	1.70316512622388e-06
1	presynapse	17	NA	NA	0.00680334574556032	0.00200587351508977	NA	0.000115362505637935	NA	0.0164692612244933	0.000653645370991985	NA	0.0183413402278519	0.00708198958139063	NA	0.00170914337602285	6.00837468050869e-14	0.0140074435210741	NA	NA	0.000935807539138236	NA	0.00886205521393869	0.00255186222227617	NA	NA	0.000915705066729797	NA	6.79180548538278e-08	0.0266809237192163	7.60947220000507e-05	NA	NA	NA	NA
1	apical part of cell	16	NA	NA	0.0258726599090575	0.000127807300251816	0.00382402458277285	0.0089620414202406	NA	0.00453545160773577	NA	NA	NA	0.0215256196163813	NA	5.00177168818859e-05	NA	2.05182477343336e-07	0.0080553362906304	0.000633161206124916	0.000214327439782897	NA	NA	NA	NA	NA	0.00272435728947288	0.000213512528085093	NA	0.0293540305960311	NA	0.00182404310730553	NA	NA	0.000181433672431046
2	transmembrane transporter complex	15	NA	0.0242884882800163	0.000209195474099675	NA	NA	NA	NA	NA	NA	4.28267630009755e-13	NA	0.00256695308595448	0.00120009076387124	NA	1.2574589819113e-12	NA	6.66643519379596e-07	7.35132444237381e-06	NA	0.0158945052348347	NA	NA	NA	NA	NA	9.43562520214646e-10	NA	7.7594725535564e-11	3.23968823215711e-09	1.41298761337133e-06	0.00126820132365388	0.00819079987103917	NA
2	blood microparticle	14	NA	NA	0.0419031151375033	NA	3.44930791845237e-08	0.0202072968739532	NA	0.00576458606553976	NA	NA	NA	0.0450329001659274	0.00047998156255485	NA	NA	NA	1.49824437795332e-05	0.00103395855614101	NA	NA	NA	NA	0.000169344526389338	0.000746515126750549	2.37595334591191e-05	NA	2.30810798230327e-05	7.48790467682679e-06	NA	NA	0.0176078384666422	NA	NA
1	neuron to neuron synapse	14	NA	NA	NA	0.0034215852095419	NA	8.13976896950142e-09	NA	0.00167724510734643	NA	0.000239248532503324	NA	NA	NA	0.000155469682663458	0.024777202086012	0.0180161562860487	NA	NA	1.54690630432507e-06	NA	NA	NA	NA	0.00330520154090773	NA	0.0179541174059023	1.72524164046206e-07	0.024972214963923	0.0433574052729332	0.0021126417193088	NA	NA	NA
1	asymmetric synapse	14	NA	NA	NA	0.00493551018364341	NA	8.79558804269416e-08	NA	0.00220219651175342	NA	0.000292152964731325	NA	NA	NA	0.000128990862722468	0.0323944285688192	0.0213334434284256	NA	NA	2.42665553365885e-06	NA	NA	NA	NA	0.00275563818509	NA	0.0273537216925243	4.70715264732842e-07	0.0345608310696644	0.0372196961157338	0.00337031106388106	NA	NA	NA
