gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
APOLD1	767161	129	35	944262	340356	0	2	2	0	37	64	26454396	0	0
B2M	673122	428	36	444772	118472	0	8	0	0	50	57	28256576	0	0
CASP8	571730	386	37	2148058	485936	0	70	1	0	50	61	30811756	0	0
CDKN2A	225405	357	-15	1197270	311742	0	122	1	0	13	9	6599292	0	0
DEC1	117692	604	-17	276602	68272	0	2	0	0	35	56	24558844	0	0
HLA-B	2552688	347	28	1303694	381520	0	24	1	0	49	112	39101282	0	0
HRAS	1970020	236	42	775590	216864	0	37	0	0	50	62	28567816	0	0
IFI6	732210	217	24	509028	143070	0	2	0	0	50	86	37257436	0	0
NFE2L2	372300	145	36	2185206	576798	0	35	2	0	50	67	26899670	0	0
PRSS1	285408	636	11	900588	249996	0	9	1	0	50	74	34148048	0	0
TP53	2069567	213	34	1550678	428206	0	476	17	0	0	17	428206	0	0
ZNF720	NaN	NaN	NaN	484430	113452	0	3	0	0	50	150	56018180	0	0
NOTCH1	1489379	212	43	9157484	2589316	0	109	10	0	2	11	3717812	4.107825e-15	5.960138e-12
NSD1	948717	227	42	9636894	2680680	0	84	3	0	1	3	3234888	4.773959e-15	6.431887e-12
FAT1	351973	513	-13	16251748	4637978	0	166	12	0	10	17	9270936	6.106227e-15	7.678376e-12
FBXW7	117295	501	51	3064208	821272	0	38	2	0	9	10	5774506	8.990364e-12	1.059852e-08
PIK3CA	401889	613	11	3962788	987434	0	105	1	0	1	3	1238936	3.204648e-11	3.555651e-08
HLA-A	983517	596	36	1319758	379010	0	22	3	0	22	40	11179540	4.100206e-09	4.296561e-06
EPHA2	866090	197	37	3504462	1006008	0	32	2	0	40	46	21326968	7.741140e-09	7.684915e-06
ZNF750	711691	350	16	2479880	797176	0	24	1	0	7	2	3394524	1.217848e-08	1.148552e-05
TGFBR2	80018	417	-9	2148560	572782	0	31	2	0	18	32	9790506	1.037025e-06	9.314462e-04
CTCF	1074126	147	45	2682688	666656	0	20	2	0	50	61	31692766	4.437416e-06	3.804479e-03
PTEN	259678	300	34	1520056	353408	0	13	0	0	50	56	25717460	5.317278e-06	4.360630e-03
SMAD4	156084	422	41	2015028	543666	0	19	1	0	50	68	34973838	7.955283e-06	6.252190e-03
EP300	1167197	154	42	8696146	2395544	0	42	0	0	4	1	3691708	9.169748e-06	6.918392e-03
RB1	349930	450	41	3467816	886030	0	17	2	0	50	68	31736440	9.648140e-06	6.999355e-03
PSG8	386041	417	-19	1551682	436238	0	17	2	0	50	45	26602988	2.097827e-05	1.465526e-02
RAC1	NaN	NaN	NaN	775590	218370	0	13	0	0	50	150	56123098	3.905324e-05	2.540369e-02
CUL3	255624	463	20	2850356	714346	0	20	1	0	50	72	35458268	3.905773e-05	2.540369e-02
MTMR8	56100	NaN	0	2592328	674186	0	17	0	0	12	6	9242322	6.377031e-05	4.009452e-02
AK5	484699	536	-8	2085810	536136	0	18	1	0	49	47	21861096	1.006557e-04	6.124414e-02
