gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
KIT	92734	649	0	1032336	269280	0	21	0	0	50	2	8554032	2.305600e-12	4.348823e-08
KRAS	259193	512	16	246816	59472	0	12	0	0	50	1	8300160	5.077272e-11	4.788375e-07
PTMA	1003689	202	24	126576	25488	0	8	0	0	4	0	505008	1.275184e-06	8.017509e-03
LZTR1	577297	192	58	879264	245664	0	6	0	0	50	2	8496288	3.249728e-06	1.532409e-02
NRAS	600650	472	11	202608	52272	0	5	0	0	50	0	8506512	2.492838e-05	9.403983e-02
RPL5	582788	274	4	320112	79920	0	2	0	0	50	3	9791424	2.242716e-03	1
PRPF38B	743461	225	9	570528	147024	0	2	0	0	50	2	9756144	5.938409e-03	1
DPP3	1941577	194	51	761616	225504	0	2	0	0	50	0	8139024	9.591372e-03	1
TAAR2	125852	605	19	361728	96192	0	2	0	0	50	2	8078544	1.192684e-02	1
ATCAY	2187414	201	34	398016	104832	0	2	0	0	50	2	9699408	1.386547e-02	1
HIST1H2AD	NaN	NaN	NaN	127296	43344	0	1	0	0	50	4	16079760	1.459090e-02	1
RPLP0	1608347	225	59	327024	98064	0	2	1	0	50	2	6853680	1.624529e-02	1
GJA9	524940	458	24	524016	146448	0	2	0	0	50	0	7557264	1.641693e-02	1
ZNF593	783481	212	23	136080	43200	0	1	0	0	50	0	9116928	1.776977e-02	1
APOA2	728669	234	37	106560	29520	0	1	0	0	39	0	6430896	1.789018e-02	1
RAB42	816470	183	25	105552	31824	0	1	0	0	50	2	8341632	1.790323e-02	1
ZNF277	169396	550	-8	492192	111312	0	2	0	0	50	2	8973360	1.835799e-02	1
EPHB4	1339207	433	48	997344	310752	0	3	0	0	50	1	9688896	2.004029e-02	1
MTF2	611888	391	16	634464	159552	0	2	0	0	50	0	8286624	2.017121e-02	1
FKBP14	661477	560	23	225072	54864	0	1	0	0	50	0	10515744	2.330818e-02	1
CYP1A1	746043	199	41	523152	152064	0	2	0	0	50	2	8876160	2.444896e-02	1
PHLDA3	842013	209	26	125280	42336	0	1	0	0	50	1	6943536	2.637389e-02	1
DDX3X	627364	NaN	54	706752	180144	0	2	0	0	50	0	8523504	2.697110e-02	1
NDST1	1109777	188	60	905472	261360	0	2	0	0	50	3	9486000	2.715982e-02	1
NEK10	107333	515	-15	772992	190800	0	2	0	0	50	1	9778752	2.870489e-02	1
