gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
CDKN2C	290894	417	2	469260	141015	0	6	0	0	50	37	25346360	0	0
EGFR	423489	336	-13	3748945	989870	0	117	9	0	4	12	2265325	0	0
IDH1	260367	539	17	1209885	303360	0	25	0	0	50	34	25510680	0	0
PTEN	259678	300	34	1196060	278080	0	135	1	0	50	30	20235850	0	0
TP53	2069567	213	34	1220155	336935	0	147	2	0	16	8	4770415	6.106227e-15	1.884692e-11
PIK3R1	48999	619	32	2242020	555765	0	41	0	0	14	9	7347000	6.439294e-15	1.884692e-11
ATRX	548517	NaN	8	7270765	1753010	0	47	6	0	50	43	23029685	6.994405e-15	1.884692e-11
RB1	349930	450	41	2728660	697175	0	39	1	0	50	45	24971900	1.132427e-14	2.669981e-11
NF1	462449	396	26	8235355	2200940	0	65	2	0	1	2	2430040	4.143219e-11	8.683267e-08
STAG2	338292	NaN	7	3763560	904155	0	19	1	0	50	37	24292105	2.008740e-10	3.788885e-07
SPTA1	177547	940	1	7066155	1778685	0	45	8	0	42	54	20720910	6.248203e-08	1.071396e-04
LZTR1	577297	192	58	2411870	673870	0	17	1	0	50	22	23305790	3.050270e-06	4.794517e-03
GABRA6	12083	986	-6	1295995	355895	0	14	1	0	50	36	20651785	4.820457e-06	6.994112e-03
RPL5	582788	274	4	878085	219225	0	7	0	0	50	49	26858420	1.444209e-05	1.945762e-02
SULT1B1	14468	1020	1	887170	201845	0	10	1	0	50	53	23338575	1.581703e-05	1.988938e-02
FLG2	387153	671	6	6532115	1980925	0	32	7	0	37	29	13938365	4.595290e-05	5.417273e-02
KEL	294033	676	2	2101795	589340	0	18	3	0	24	23	9910155	6.183328e-05	6.860585e-02
RIMS2	198819	1035	-8	4032160	1106000	0	27	3	0	50	55	23011515	1.540775e-04	1.540405e-01
QKI	81134	1131	1	1071240	293880	0	8	0	0	50	41	21710385	1.551675e-04	1.540405e-01
ASTL	821367	251	45	1201590	370905	0	11	1	0	50	28	21500640	3.131026e-04	2.952870e-01
TPTE2	288628	778	-16	1569335	384730	0	13	1	0	50	39	17555775	3.813293e-04	3.425064e-01
TRAT1	107009	961	-15	558925	129560	0	6	0	0	50	54	25090005	3.999426e-04	3.428963e-01
MSL3	53978	NaN	41	1602120	402900	0	7	1	0	50	41	24435885	7.494819e-04	6.146403e-01
COL6A3	423594	399	10	8854715	2702590	0	34	7	0	50	50	31257535	8.620875e-04	6.376576e-01
PIK3CA	401889	613	11	3118130	776965	0	42	0	0	0	0	776965	8.685907e-04	6.376576e-01
UGT2A3	NaN	NaN	NaN	1502975	400135	0	11	1	0	50	96	44388915	8.859148e-04	6.376576e-01
F5	294416	415	11	6348045	1675590	0	16	1	0	49	25	24473410	9.127747e-04	6.376576e-01
TAS2R41	371260	379	1	842140	252800	0	5	0	0	50	30	22509470	1.029469e-03	6.484684e-01
WNT2	331093	392	5	1028185	274130	0	9	1	0	50	38	23714615	1.073540e-03	6.484684e-01
IMPG1	187724	674	-13	2306010	606720	0	10	1	0	50	59	31182880	1.083410e-03	6.484684e-01
DAO	494991	393	49	1001325	283215	0	8	1	0	42	25	21804000	1.096627e-03	6.484684e-01
FOXR2	89607	NaN	10	885195	223965	0	8	1	0	50	37	23402960	1.120331e-03	6.484684e-01
PROKR2	504598	489	14	1063340	308890	0	8	1	0	50	27	24625880	1.134528e-03	6.484684e-01
PTPN11	704590	167	43	1746295	436475	0	14	1	0	50	42	24574925	1.170715e-03	6.494715e-01
OR52B2	465433	806	-1	870580	280055	0	7	0	0	50	24	22230205	1.225836e-03	6.606205e-01
MMP3	468929	506	-21	1376180	368140	0	8	1	0	50	55	29715850	1.340711e-03	7.024583e-01
OR9G1	NaN	NaN	NaN	832265	253195	0	6	0	0	50	95	44241975	1.671129e-03	8.519146e-01
MUC17	1124475	272	43	11853555	4181865	0	40	10	0	50	40	27824195	1.831563e-03	9.091301e-01
TRPV6	284406	645	18	2058740	588550	0	11	2	0	46	35	21935140	2.205128e-03	1
OR5AR1	NaN	NaN	NaN	855175	248060	0	7	1	0	50	96	44236840	2.223019e-03	1
ODF4	772200	257	20	727590	199080	0	6	1	0	50	15	19195815	2.244063e-03	1
OR5P2	103028	823	-1	876900	271365	0	6	0	0	28	21	14496895	2.548658e-03	1
OR8K3	10317	969	-43	856755	253590	0	10	2	0	8	9	3398580	2.592315e-03	1
SEPT12	706891	195	33	1030950	287955	0	8	1	0	50	35	21625065	2.731924e-03	1
RNF168	1173736	125	34	1633720	425810	0	6	0	0	50	27	25900150	2.832779e-03	1
UGT2A1	19584	1065	-8	1502975	400135	0	7	0	0	50	43	25684875	3.059578e-03	1
PDGFRA	51422	518	27	3146175	833055	0	20	3	0	17	22	8002305	3.113121e-03	1
LRRC55	925743	431	-21	930620	289930	0	8	2	0	50	53	21839155	3.608382e-03	1
SIRPG	421072	486	32	1078350	327060	0	5	1	0	50	20	18484025	3.713662e-03	1
TGFA	715918	463	13	465310	130745	0	5	0	0	50	47	21482865	4.036027e-03	1
PLCXD3	219266	928	-15	913635	242925	0	7	1	0	45	42	15786965	4.511939e-03	1
OR4K5	431654	854	-49	880455	268995	0	8	2	0	43	43	16542600	4.549405e-03	1
KRT23	1036346	358	5	1216205	320740	0	9	0	0	38	20	11432090	4.824993e-03	1
UQCRQ	686574	200	66	240555	63990	0	2	0	0	50	24	17795935	5.082201e-03	1
OPRK1	147912	861	-14	1058995	309680	0	4	0	0	50	40	27488050	5.418632e-03	1
KLF17	865527	167	38	1084670	316000	0	7	0	0	50	34	22508680	5.647513e-03	1
SLC5A7	122653	911	-16	1619105	484270	0	12	0	0	14	12	5951465	5.790486e-03	1
FAM46C	344088	557	16	1089015	309285	0	7	0	0	50	30	28818015	5.961021e-03	1
CPNE8	87865	674	-4	1675195	425810	0	10	0	0	33	30	15437785	6.837629e-03	1
DNAJC19	182678	1094	-4	351550	90455	0	4	0	0	50	36	20667190	7.014635e-03	1
TRAPPC6B	314417	166	13	476370	112575	0	3	0	0	50	28	21349750	7.022363e-03	1
TCHH	527465	349	35	5545405	1370255	0	21	3	0	50	26	23960305	8.244241e-03	1
SNX16	156346	680	6	1004090	255565	0	5	0	0	50	57	28741780	8.253995e-03	1
OR4K2	431654	854	-49	868210	251615	0	6	1	0	50	50	20091675	8.335945e-03	1
CDH18	4731	1195	-17	2262560	596845	0	15	3	0	40	55	18085865	8.417611e-03	1
UBE2W	257905	407	34	493750	116525	0	4	0	0	50	30	21456005	8.682045e-03	1
GABRB2	11638	1049	7	1468610	397765	0	9	1	0	8	3	4609650	8.701790e-03	1
ADAMTS16	89385	683	-23	3492985	966170	0	18	4	0	46	44	21128945	8.884284e-03	1
OR5K4	414958	885	-14	887565	254775	0	7	0	0	50	53	20571600	9.176962e-03	1
SLC7A13	192785	1147	3	1292835	398160	0	6	0	0	50	36	19609380	9.231023e-03	1
GLYATL1	368006	741	-11	973280	244900	0	8	0	0	50	36	20172650	9.328791e-03	1
NDUFA4	142078	1098	-11	244110	61620	0	3	0	0	50	60	31112570	9.617522e-03	1
DRD5	207324	923	30	1301920	397370	0	10	1	0	50	35	19964485	9.817351e-03	1
AZGP1	1584669	391	36	853200	226335	0	5	0	0	50	35	20990300	9.851137e-03	1
LRRC18	NaN	NaN	NaN	729170	209350	0	6	0	0	50	95	44198130	1.039461e-02	1
KRTAP20-2	28000	1055	-80	180120	53325	0	3	0	0	50	72	17694420	1.064266e-02	1
OR52M1	190769	879	-1	846090	283215	0	6	1	0	50	35	21988070	1.081194e-02	1
ATG12	384075	759	1	398555	116920	0	2	0	0	50	44	25776910	1.088109e-02	1
PTPN3	352374	431	12	2668225	699545	0	11	2	0	50	31	25226280	1.112128e-02	1
KPRP	64902	818	18	1578420	488220	0	11	2	0	50	50	22939230	1.133559e-02	1
SHPK	504736	354	20	1318115	414355	0	6	1	0	50	30	25958215	1.138637e-02	1
OR9K2	341315	828	-2	917585	275710	0	8	1	0	42	41	18458350	1.176670e-02	1
RPP14	596733	221	40	368535	99540	0	2	0	0	50	31	24392830	1.177787e-02	1
HNF4A	769430	376	16	1514430	430155	0	10	2	0	50	40	23433375	1.216001e-02	1
SMC1A	920771	NaN	70	3613460	889540	0	12	1	0	44	23	20715775	1.274743e-02	1
C12orf54	904892	390	11	401320	91640	0	3	0	0	50	38	16783155	1.293160e-02	1
OR7G2	311030	471	-63	936545	291115	0	6	1	0	50	70	30440280	1.295248e-02	1
NEU2	410526	294	33	1033320	324690	0	6	1	0	50	39	21770425	1.307613e-02	1
ERG	162262	418	4	1427925	374460	0	8	2	0	50	29	19588050	1.364695e-02	1
IL18RAP	230715	671	4	1727335	453065	0	7	1	0	50	54	21469830	1.364752e-02	1
SCGB1D1	2778889	450	53	261095	74260	0	3	0	0	50	46	22731460	1.368109e-02	1
SLC26A3	511053	515	19	2191855	622520	0	9	0	0	43	18	16578940	1.372874e-02	1
DPT	358217	440	9	597240	137460	0	4	0	0	50	45	23447200	1.379346e-02	1
OR2H1	404210	854	21	849250	277685	0	5	0	0	50	38	18436625	1.384275e-02	1
SEMA3C	114018	419	-27	2183560	570380	0	11	1	0	18	21	9852090	1.410585e-02	1
DPP10	7721	1178	-22	2528790	625680	0	15	3	0	8	9	4535785	1.413032e-02	1
