gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
TP53	2069567	213	34	176073	48621	0	57	0	0	50	1	2954025	0	0
FBXW7	117295	501	51	347928	93252	0	23	0	0	38	2	2363277	5.517808e-14	5.203845e-10
PTEN	259678	300	34	172596	40128	0	16	0	0	50	8	2920110	1.411974e-10	7.868423e-07
PIK3CA	401889	613	11	449958	112119	0	22	0	0	50	5	3496038	1.668630e-10	7.868423e-07
PPP2R1A	478211	896	-38	239742	72504	0	17	0	0	50	6	2898621	1.103486e-08	4.162790e-05
PIK3R1	48999	619	32	323532	80199	0	8	0	0	50	5	3230760	2.160724e-06	6.792597e-03
ZBTB7B	1612870	224	35	210102	68286	0	7	0	0	50	0	2960238	2.801393e-06	7.548554e-03
KRAS	259193	512	16	97698	23541	0	7	0	0	50	3	3285480	9.132411e-06	2.153194e-02
CHD4	2790851	179	51	800451	207594	0	12	0	0	50	6	4284519	4.955642e-04	1
BCL2L11	NaN	NaN	NaN	99294	26904	0	2	0	0	50	8	6374652	7.401575e-04	1
RB1	349930	450	41	393756	100605	0	6	0	0	50	7	3603540	8.719575e-04	1
TPTE	30271	1268	-81	237405	60135	0	8	0	0	50	2	2126100	1.411246e-03	1
UBE2G1	1040590	292	26	72618	18525	0	2	0	0	50	0	3622179	1.515910e-03	1
HIGD2A	576954	347	45	42066	13851	0	2	0	0	50	2	3348693	1.614180e-03	1
SPOP	943930	348	28	158175	40356	0	5	0	0	50	3	3016839	2.657324e-03	1
ZFP36L1	543449	259	46	132183	42408	0	2	0	0	50	2	2977794	3.278168e-03	1
LYPLA2	903441	254	32	96672	28500	0	2	1	0	50	6	2907342	3.319993e-03	1
OSTN	124914	878	7	53352	16416	0	2	0	0	50	5	3209328	3.584015e-03	1
CLEC12A	305376	565	19	113259	26619	0	2	0	0	50	2	4188987	4.216840e-03	1
CBX5	753625	205	59	82251	18981	0	2	0	0	50	2	3198099	5.248136e-03	1
SSX7	250163	NaN	25	83391	18354	0	2	0	0	50	3	3879990	5.254217e-03	1
ARID1A	975965	182	27	911886	273828	0	10	0	0	37	3	2814090	5.917588e-03	1
MOGAT2	528291	418	45	135888	39216	0	3	0	0	50	2	4008240	6.296237e-03	1
GRIA3	226353	NaN	-6	387087	102657	0	5	1	0	50	3	3603426	7.143043e-03	1
DCTN5	544239	561	38	77520	20121	0	2	0	0	50	5	3786681	7.933535e-03	1
FAM92B	553233	273	36	126939	34314	0	3	0	0	50	4	3308679	9.500008e-03	1
MYOZ1	1051799	153	43	121923	35397	0	2	0	0	50	7	3922740	9.773718e-03	1
LZTFL1	252915	426	42	128706	31350	0	2	0	0	50	5	3645549	1.363182e-02	1
DSN1	794301	231	64	152076	37905	0	2	0	0	50	1	2837289	1.398049e-02	1
OR5K1	416592	885	-4	123633	35226	0	3	0	0	50	6	3229962	1.630539e-02	1
DPH3	205091	437	26	35796	8151	0	1	0	0	50	2	2943879	1.666912e-02	1
LSM5	371992	639	6	39900	10374	0	1	0	0	50	2	3145032	1.729206e-02	1
S100A13	1555611	183	33	42009	10488	0	1	0	0	50	2	3310560	1.730130e-02	1
CLEC17A	1022856	198	29	124830	31806	0	2	0	0	50	5	3453231	1.768946e-02	1
TBXAS1	485631	679	36	240540	67089	0	2	0	0	50	4	3050982	1.788403e-02	1
DAB1	22463	1004	-12	231762	62358	0	2	0	0	50	8	3819342	1.826881e-02	1
OR4C6	1295	1091	-20	122550	36138	0	3	0	0	50	9	3068196	1.837957e-02	1
