gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
ANKRD16	649866	305	28	1225497	344715	0	4	0	0	50	74	31519145	0	0
CDKN2A	225405	357	-15	1118565	291249	0	77	2	0	11	30	4278687	0	0
NFE2L2	372300	145	36	2041557	538881	0	80	3	0	50	96	25131365	8.881784e-16	5.584274e-12
PTEN	259678	300	34	1420132	330176	0	58	4	0	5	15	1960889	2.109424e-15	9.946988e-12
RB1	349930	450	41	3239852	827785	0	36	0	0	6	1	3548923	3.441691e-15	1.221560e-11
TP53	2069567	213	34	1448741	400057	0	453	16	0	0	16	400057	3.885781e-15	1.221560e-11
KEAP1	1996822	207	30	2068290	597975	0	56	6	0	10	17	4540858	1.084499e-11	2.922260e-08
ZNF716	NaN	NaN	NaN	1694497	416003	0	37	3	0	16	39	8894116	7.640154e-09	1.801357e-05
ARID1A	975965	182	27	7503062	2253076	0	34	4	0	10	13	10604559	8.061517e-08	1.689515e-04
FAT1	351973	513	-13	15183406	4333091	0	86	9	0	1	9	4537106	1.923004e-07	3.627171e-04
NF1	462449	396	26	9778181	2613268	0	65	10	0	18	33	8941016	7.435553e-06	1.274995e-02
ACTC1	521214	306	-1	1271459	357847	0	25	3	0	45	117	26756450	8.821740e-06	1.386630e-02
CWH43	246165	439	49	2389086	650034	0	29	2	0	49	101	33508643	1.228759e-05	1.782835e-02
RASA1	154501	726	24	3593009	979741	0	33	2	0	5	14	3729019	1.610988e-05	2.170461e-02
SAGE1	246199	NaN	26	3098683	825440	0	33	3	0	24	42	12900314	2.623323e-05	3.298742e-02
ASB5	134663	504	-4	1114344	315168	0	21	3	0	28	79	16846949	3.170672e-05	3.737826e-02
LRFN5	8637	1309	-33	2372202	689430	0	62	9	0	12	76	8747788	4.520380e-05	5.015495e-02
DEFB112	65301	1242	-3	390208	95207	0	14	1	0	33	90	13759053	5.078180e-05	5.321368e-02
GPR174	14321	NaN	62	1101681	310947	0	14	2	0	50	106	31867143	1.800655e-04	1.787576e-01
SLCO1B1	518292	799	-25	2373140	626584	0	34	6	0	8	19	3921778	1.940865e-04	1.830429e-01
PRR23A	NaN	NaN	NaN	829661	297346	0	18	0	0	50	214	52527062	2.083288e-04	1.871190e-01
DRD3	418141	589	23	1327739	401464	0	19	2	0	29	57	14468181	2.487059e-04	2.132314e-01
OR5M1	NaN	NaN	NaN	1027110	306726	0	17	3	0	16	39	8784839	2.701773e-04	2.171542e-01
CYP11B1	447193	438	36	1682772	492450	0	28	3	0	50	105	27501691	2.763069e-04	2.171542e-01
ARHGAP36	65931	NaN	13	1824879	544509	0	25	4	0	50	142	30121525	3.516536e-04	2.653156e-01
P2RY11	1675365	272	15	24857	4690	0	4	0	0	9	23	4399220	3.939469e-04	2.857933e-01
IRF6	220312	429	18	1593662	421162	0	17	0	0	24	46	12622666	4.577494e-04	3.197803e-01
COL11A1	37620	742	-20	6315554	1904140	0	107	19	0	6	30	4236477	5.286166e-04	3.560988e-01
DUSP22	224772	684	46	656600	163681	0	13	0	0	50	86	18960732	5.562549e-04	3.617959e-01
PDYN	461602	543	28	841855	245756	0	23	3	0	6	11	2470223	5.978144e-04	3.694823e-01
MBL2	68687	786	-26	828254	242473	0	22	4	0	12	42	4158623	6.123652e-04	3.694823e-01
