gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
KRCC1	169985	543	5	446472	103896	0	3	0	0	50	6	13316238	0	0
TSPAN6	182582	NaN	-2	426114	112320	0	2	0	0	50	5	12279150	0	0
RB1	349930	450	41	1616472	413010	0	27	0	0	50	14	14793480	3.330669e-16	2.094103e-12
ATRX	548517	NaN	8	4307238	1038492	0	37	0	0	17	5	6592716	8.881784e-16	4.188205e-12
TP53	2069567	213	34	722826	199602	0	89	2	0	26	7	5311098	1.998401e-15	7.538770e-12
PTEN	259678	300	34	708552	164736	0	7	0	0	50	9	11987820	2.776976e-05	8.729887e-02
ZNF488	117080	445	21	536796	181350	0	5	0	0	50	6	13353444	6.714922e-04	1
TM2D1	174892	296	-9	355212	99684	0	4	0	0	50	14	15435108	1.449192e-03	1
SMARCAL1	590685	384	31	1600794	456768	0	7	0	0	50	10	14860170	1.785521e-03	1
TM4SF1	529009	254	8	340470	98280	0	3	0	0	50	18	17941248	2.227545e-03	1
DCDC1	84163	938	-25	605358	161928	0	5	0	0	50	26	15371460	3.067402e-03	1
OR5A1	430021	507	-1	506376	159120	0	3	0	0	50	10	13961844	4.519457e-03	1
PPIAL4G	119504	375	34	275886	73008	0	2	0	0	50	6	13358592	5.652164e-03	1
NDUFA7	778783	209	14	190710	59202	0	3	0	0	50	11	15082002	5.824771e-03	1
PSG1	394104	283	-23	727038	207324	0	5	0	0	50	15	15764814	5.914565e-03	1
CLDN6	1443513	234	49	346788	121446	0	4	0	0	50	19	12458160	6.544963e-03	1
OR8D1	154391	921	-14	497952	152100	0	5	0	0	50	13	12727026	7.003160e-03	1
PRB3	311837	673	-1	493272	172224	0	4	0	0	50	12	10797228	7.537279e-03	1
SCOC	186461	708	3	318708	81432	0	3	0	0	50	12	12851280	7.629812e-03	1
DCAF8L2	NaN	NaN	NaN	1049724	284076	0	8	1	0	50	38	26343252	7.737876e-03	1
UBB	881521	169	4	373932	113256	0	3	0	0	50	15	10929204	8.061387e-03	1
TMEM217	626559	236	44	393354	99450	0	5	1	0	13	2	3268980	8.145141e-03	1
OR2T2	112460	903	-20	520182	164268	0	4	0	0	50	10	14522274	8.147661e-03	1
PIK3CA	401889	613	11	1847196	460278	0	7	0	0	50	12	14352156	8.382138e-03	1
TBC1D29	488195	329	28	254124	76518	0	2	0	0	50	7	11118276	8.439965e-03	1
MEST	325887	298	31	579150	159354	0	3	0	0	50	9	13298688	8.600081e-03	1
FAM64A	249769	359	6	395694	121680	0	3	0	0	50	13	12669696	9.188822e-03	1
OR2V2	978482	478	29	513864	150930	0	4	1	0	50	24	14164722	9.657918e-03	1
UGT3A2	173490	614	-9	881010	239382	0	4	1	0	50	14	16748550	1.054069e-02	1
BLVRB	1010633	202	34	338364	108810	0	3	0	0	50	14	11899602	1.062158e-02	1
ZNF234	554986	634	-28	1200420	287118	0	5	0	0	50	16	11575980	1.068684e-02	1
FUT1	1635420	190	44	585468	188136	0	5	1	0	50	13	13850928	1.108221e-02	1
RAB38	149319	616	-15	358488	95004	0	2	0	0	50	17	16044210	1.171685e-02	1
FABP7	138284	1073	-1	231660	56862	0	2	0	0	50	12	10360818	1.276876e-02	1
C8orf22	15071	631	-19	147654	36270	0	2	0	0	50	21	12569778	1.337098e-02	1
OR5V1	329776	872	7	523692	155142	0	4	0	0	50	20	14425164	1.411555e-02	1
FBXO5	164387	538	-5	752310	202410	0	3	0	0	50	10	15134652	1.433366e-02	1
TADA3	953772	264	43	727038	208728	0	3	1	0	50	12	17860986	1.497514e-02	1
F11R	777836	441	19	511524	145548	0	4	0	0	50	18	14504256	1.519690e-02	1
ANXA1	247950	411	-15	607932	156546	0	3	0	0	50	10	12082824	1.650254e-02	1
CH25H	255590	367	34	440856	135486	0	2	0	0	50	4	11404224	1.699664e-02	1
CHRNA9	442913	347	53	805896	217620	0	4	0	0	50	9	12484602	1.781995e-02	1
KYNU	48515	369	20	824616	212940	0	3	1	0	50	9	13593060	1.890290e-02	1
STARD4	181104	636	26	359190	88686	0	2	0	0	50	11	12793482	1.895393e-02	1
KLRC2	378365	334	0	403650	100386	0	3	0	0	50	11	14264406	1.896781e-02	1
GRIK3	361850	626	30	1542762	436878	0	5	0	0	50	8	14295762	1.962773e-02	1
FAM47C	71087	NaN	-10	1641510	541710	0	8	1	0	17	6	7702344	2.025189e-02	1
SPRED1	96035	704	-21	765648	188370	0	5	1	0	50	18	14787162	2.031927e-02	1
ERAS	823539	NaN	29	374166	118638	0	3	0	0	50	13	16112304	2.069478e-02	1
MS4A2	336373	691	4	443898	124722	0	3	0	0	50	11	14089842	2.087694e-02	1
MARCH9	1160849	344	39	555984	183222	0	4	0	0	50	17	13261482	2.118211e-02	1
DBF4	202733	758	14	1169532	282906	0	4	0	0	50	16	14519466	2.150666e-02	1
MS4A14	433906	899	24	1134198	309114	0	4	0	0	50	8	12034854	2.176691e-02	1
GABRR1	398929	446	29	823914	212238	0	6	1	0	50	18	16647930	2.183800e-02	1
CWH43	246165	439	49	1191996	324324	0	4	0	0	49	7	16718598	2.183927e-02	1
GAD2	101835	680	-1	1021410	257634	0	4	2	0	49	11	12386556	2.271954e-02	1
IL32	1626425	234	44	335790	83304	0	3	0	0	50	17	14893164	2.274631e-02	1
CETN3	83403	824	19	299520	65520	0	2	0	0	50	13	14171508	2.301169e-02	1
CHST10	226558	642	9	607464	158418	0	2	0	0	50	18	15253758	2.327258e-02	1
CCDC144NL	463169	398	-24	374166	101790	0	3	0	0	50	12	15517944	2.343400e-02	1
MDM2	541243	228	32	866034	210834	0	5	1	0	50	12	12801438	2.367233e-02	1
OR52L1	432250	877	-13	526032	171756	0	4	0	0	50	16	11926746	2.379167e-02	1
GLUL	349818	783	5	636480	168012	0	4	0	0	50	15	16079544	2.458558e-02	1
PNPLA3	155890	393	24	800280	237276	0	2	1	0	50	8	12541698	2.493382e-02	1
