Name	UCSC_RefGene_Name	UCSC_RefGene_Accession	UCSC_RefGene_Group	UCSC_CpG_Islands_Name
cg00543474	C10orf91	NM_173541	Body	
cg05948372	ABHD3	NM_138340	Body	chr18:19284165-19285052
cg10167849	HMGA1	NM_145903;NM_145899;NM_002131;NM_145901;NM_145902;NM_145905	5'UTR	chr6:34202567-34206193
cg10167849	HMGA1	NM_145903;NM_145899;NM_002131;NM_145901;NM_145902;NM_145905	TSS1500	chr6:34202567-34206193
cg10837404	DCP2	NM_152624	3'UTR	
cg15834395	C10orf91	NM_173541	Body	
cg01572460	FBXL7	NM_012304	Body	
cg02174232	APEH	NM_001640	Body	chr3:49710968-49712279
cg04216240	RHOD	NM_014578	TSS1500	chr11:66824118-66824621
cg04608356	SYTL1	NM_032872	TSS200	
cg05602642	CERK	NM_022766	3'UTR	chr22:47081750-47082045
cg07551060	GRK5	NM_005308	Body	
cg12109968	ATP9A	NM_006045	Body	chr20:50383675-50384904
cg14793844	AFF3	NM_001025108;NM_002285	Body	
cg15972148	RASA3	NM_007368	Body	chr13:114879041-114879530
cg26498015	AR	NM_001011645;NM_000044	TSS1500	
cg26498015	AR	NM_001011645;NM_000044	Body	
cg00858400	SLC7A5	NM_003486	TSS1500	chr16:87902454-87903460
cg01289421	B3GNT3	NM_014256	5'UTR	chr19:17905579-17906317
cg01421140	DAB1	NM_021080	3'UTR	
cg04642300	ARMC2	NM_032131	Body	
cg07572930	CMIP	NM_198390	Body	
cg07961632	SYTL1	NM_032872	TSS200	
cg08221781	RHOD	NM_014578	TSS1500	chr11:66824118-66824621
cg11288831	RASA3	NM_007368	Body	chr13:114879041-114879530
cg11688378	BEND5	NM_024603;NM_032785	Body	chr1:49242371-49242810
cg11688378	AGBL4	NM_024603;NM_032785	Body	chr1:49242371-49242810
cg12182124	LAMA3	NM_000227;NM_001127718;NM_198129;NM_001127717	TSS1500	
cg12182124	LAMA3	NM_000227;NM_001127718;NM_198129;NM_001127717	Body	
cg12307314	ARHGAP26	NM_015071;NM_001135608	Body	
cg12603671	PTGER3	NR_028293;NM_198718;NR_028294;NR_028292;NM_198717;NM_198714;NM_001126044;NM_198716	Body	
cg12603671	PTGER3	NR_028293;NM_198718;NR_028294;NR_028292;NM_198717;NM_198714;NM_001126044;NM_198716	3'UTR	
cg13803455	DSCAML1	NM_020693	Body	
cg14036402	EFHD2	NM_024329	Body	
cg14105536	GPR115	NM_153838;NM_153838	5'UTR	
cg14105536	GPR115	NM_153838;NM_153838	1stExon	
cg17117459	PARP4	NM_006437	5'UTR	chr13:25086522-25087067
cg18114811	TCL6	NR_028288	TSS1500	
cg18373623	FBXL7	NM_012304	Body	
cg19588399	SYTL1	NM_032872	TSS200	
cg20484417	PPFIA2	NM_003625	Body	
cg20659941	NEDD4L	NM_001144964;NM_015277;NM_001144966;NM_001144971;NM_001144965;NM_001144968;NM_001144967;NM_001144969;NM_001144970	5'UTR	
cg20659941	NEDD4L	NM_001144964;NM_015277;NM_001144966;NM_001144971;NM_001144965;NM_001144968;NM_001144967;NM_001144969;NM_001144970	Body	
cg20659941	NEDD4L	NM_001144964;NM_015277;NM_001144966;NM_001144971;NM_001144965;NM_001144968;NM_001144967;NM_001144969;NM_001144970	TSS1500	
cg21067465	ME3	NM_006680;NM_001161586;NM_001014811	Body	
cg21090298	MCF2L	NM_001112732	TSS200	chr13:113622737-113623660
cg22352499	SEC14L2	NM_012429;NM_033382	Body	
cg22352499	SEC14L2	NM_012429;NM_033382	3'UTR	
cg23095729	C22orf25	NM_152906;NR_029706	5'UTR	
cg23095729	MIR185	NM_152906;NR_029706	TSS1500	
cg23603036	DHRS3	NM_004753	Body	chr1:12676983-12678642
cg26451345	GPR115	NM_153838	TSS200	
cg26737223	RHBDF2	NM_024599;NM_001005498	5'UTR	
cg27236973	KRT17	NM_000422	TSS1500	
cg00412772	YIF1B	NM_001039672;NM_001145462;NM_033520;NM_033557;NM_001039673;NM_001039671;NM_001145461;NM_001145463;NM_033520	3'UTR	
cg00412772	C19orf33	NM_001039672;NM_001145462;NM_033520;NM_033557;NM_001039673;NM_001039671;NM_001145461;NM_001145463;NM_033520	1stExon	
cg00412772	C19orf33	NM_001039672;NM_001145462;NM_033520;NM_033557;NM_001039673;NM_001039671;NM_001145461;NM_001145463;NM_033520	5'UTR	
cg00689360	ADH1C	NM_000669	TSS200	
cg00867889	OC90	NM_001080399	Body	
cg01090482	NRG2	NM_013982;NM_013983;NM_013981;NM_004883	Body	
cg01117384	PMEPA1	NM_199171;NM_199170;NM_199169;NM_020182	5'UTR	
cg01117384	PMEPA1	NM_199171;NM_199170;NM_199169;NM_020182	Body	
cg01352294	CCDC162	NR_028595	TSS1500	chr6:109611449-109612230
cg01637482	FAHD1	NM_001142398;NM_001018104	Body	chr16:1876113-1877633
cg02100848	C3orf32	NM_015931	TSS200	
cg02507296	C10orf95	NM_024886	TSS200	chr10:104210095-104210985
cg02625237	AR	NM_001011645;NM_000044	Body	
