Name	UCSC_RefGene_Name	UCSC_RefGene_Accession	UCSC_RefGene_Group	UCSC_CpG_Islands_Name
cg16466652	MLLT1	NM_005934	Body	chr19:6271959-6272176
cg24541835	DHRS3	NM_004753	Body	
cg02442900	DGKD	NM_152879;NM_003648	Body	
cg02442900	DGKD	NM_152879;NM_003648	TSS200	
cg06633438	MLLT1	NM_005934	Body	chr19:6271959-6272176
cg14015502	C10orf26	NM_017787;NM_001083913	TSS1500	
cg14015502	C10orf26	NM_017787;NM_001083913	Body	
cg22630169	NFIX	NM_002501	Body	chr19:13106817-13107688
cg24409808	JMJD1C	NM_032776;NM_004241	Body	
cg00037952	C10orf26	NM_017787;NM_001083913	TSS1500	
cg00037952	C10orf26	NM_017787;NM_001083913	Body	
cg00849854	TOM1L2	NM_001033551;NM_001082968	Body	
cg04272613	DAAM1	NM_014992	5'UTR	
cg05114861	SH3BP5	NM_004844;NM_001018009	Body	
cg05114861	SH3BP5	NM_004844;NM_001018009	5'UTR	
cg05223396	SH3PXD2B	NM_001017995	Body	
cg08884539	TSPAN9	NM_006675;NM_001168320	Body	
cg12522311	NFIX	NM_002501	Body	chr19:13112170-13112809
cg13983182	SLC25A25	NM_001006641;NM_001006642	Body	
cg13983182	SLC25A25	NM_001006641;NM_001006642	TSS1500	
cg14384093	C9orf5	NM_032012	Body	chr9:111881482-111882278
cg16438182	RPTOR	NM_001163034;NM_020761	Body	chr17:78915562-78915882
cg18935453	LRP5	NM_002335	Body	
cg23224619	DGKD	NM_152879;NM_003648	Body	
cg23224619	DGKD	NM_152879;NM_003648	1stExon	
cg25107522	DGKD	NM_152879;NM_003648	Body	
cg03635766	IGFBP4	NM_001552	Body	
cg04646674	NFIX	NM_002501	Body	chr19:13113370-13113571
cg05165862	PRPF40B	NM_001031698;NM_012272	Body	
cg06703803	ANAPC7	NM_016238	3'UTR	
cg07557173	FLNB	NM_001164319;NM_001164317;NM_001164318;NM_001457	Body	
cg08436419	DGKD	NM_152879;NM_003648;NM_003648	Body	
cg08436419	DGKD	NM_152879;NM_003648;NM_003648	5'UTR	
cg08436419	DGKD	NM_152879;NM_003648;NM_003648	1stExon	
cg08616111	NFIX	NM_002501	Body	chr19:13112170-13112809
cg10157208	NFIX	NM_002501	Body	chr19:13112170-13112809
cg12308279	ST5	NM_139157;NM_213618;NM_005418	Body	
cg12492087	ZFP106	NM_022473	TSS200	
cg13412754	MAPKAP1	NM_024117;NM_001006620;NM_001006618;NM_001006617;NM_001006621;NM_001006619	Body	
cg14160480	FHAD1	NM_052929	Body	
cg16944597	FAM131A	NM_144635;NM_001171093;NM_144635	1stExon	chr3:184056419-184056671
cg16944597	FAM131A	NM_144635;NM_001171093;NM_144635	5'UTR	chr3:184056419-184056671
cg17904575	PPP2R5C	NM_001161726;NM_002719;NM_001161725;NM_178587;NM_178586	Body	
cg18631798	ACOX3	NM_001101667;NM_003501	Body	
cg20016631	FAM114A1	NM_138389	5'UTR	chr4:38869401-38869780
cg22999830	ITPK1	NM_001142593;NM_014216;NM_001142594;NR_002808	Body	
cg22999830	NCRNA00203	NM_001142593;NM_014216;NM_001142594;NR_002808	TSS1500	
cg23603036	DHRS3	NM_004753	Body	chr1:12676983-12678642
cg25918267	HCCA2	NM_053005	Body	
cg00005847	HOXD3	NM_006898	5'UTR	chr2:177029413-177029941
cg00088797	IQSEC1	NM_001134382;NM_014869	Body	chr3:12976966-12978182
cg00569091	RERE	NM_001042682;NM_012102;NM_001042681	5'UTR	
cg00569091	RERE	NM_001042682;NM_012102;NM_001042681	Body	
cg00753287	CTBP2	NM_001083914;NM_001329	5'UTR	
cg01637482	FAHD1	NM_001142398;NM_001018104	Body	chr16:1876113-1877633
cg02533339	MIR365-1	NR_029854	TSS200	
cg03129774	CLUAP1	NM_024793	3'UTR	
cg03161190	C10orf26	NM_017787;NM_001083913	TSS200	
cg03161190	C10orf26	NM_017787;NM_001083913	Body	
cg03885270	PIP4K2A	NM_005028	Body	
cg03995434	KIAA1147	NM_001080392	Body	
cg04109781	AFF3	NM_001025108;NM_001025108;NM_002285	5'UTR	chr2:100720385-100720741
cg04109781	AFF3	NM_001025108;NM_001025108;NM_002285	1stExon	chr2:100720385-100720741
cg04120520	KIAA0182	NM_001134473;NM_014615	3'UTR	
cg04498913	C7orf50	NM_001134395;NM_032350;NM_001134396	Body	chr7:1135744-1135992
cg04503570	ITPKB	NM_002221	Body	
cg04615865	CAMKK2	NM_153499;NM_006549;NM_153500;NM_172216;NM_172226	Body	
cg04799232	NFKB1	NM_003998;NM_001165412	Body	
cg05341539	AKAP13	NM_144767;NM_007200;NM_006738	Body	
cg06308720	ZMIZ1	NM_020338	Body	chr10:81002109-81003687
cg06381455	KIAA0195	NM_014738	Body	
cg07127888	GINS4	NM_032336	3'UTR	
cg07171687	PIP4K2A	NM_005028	Body	
cg07207982	ANKS1A	NM_015245	Body	
cg08584759	C10orf47	NM_153256	Body	chr10:11911554-11912432
cg08652441	STAT3	NM_213662;NM_003150;NM_139276	Body	
cg09262100	CDC42BPB	NM_006035	Body	
cg09304381	THRA	NM_003250;NM_021724	Body	chr17:38249260-38249603
cg09304381	NR1D1	NM_003250;NM_021724	Body	chr17:38249260-38249603
cg09394128	NFIX	NM_002501	Body	chr19:13113370-13113571
cg09627520	PXK	NM_017771	3'UTR	
cg09832443	CREB5	NM_004904;NM_182899;NM_182898	Body	
cg09871424	PBX1	NM_002585	Body	
cg10062919	RARA	NM_001145301;NM_000964;NM_001024809;NM_001145302	Body	chr17:38501396-38501839
cg10266490	ACOT11	NM_147161;NM_015547	TSS200	
cg10888244	PVRL4	NM_030916	Body	chr1:161049346-161049737
